"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","level","name","selected","shared name","wordcloud.sync"
,"0.0","0.0","0",,"false","AboutFragment AbstractWalletActivity AbstractWalletLiveData AcceptBluetoothService AcceptBluetoothThread AcceptBluetoothThread.ClassicBluetoothThread AcceptBluetoothThread.PaymentProtocolThread AddressAndLabel AddressBookActivity AddressBookDao AddressBookEntry AlertDialogsFragment AppDatabase BackupWalletDialogFragment BackupWalletViewModel Base43 BlockListAdapter BlockListAdapter.ListItem.ListTransaction BlockListAdapter.OnClickListener BlockListAdapter.ViewHolder BlockListFragment BlockListFragment.BlocksLiveData BlockListFragment.TransactionsLiveData BlockListFragment.ViewModel BlockchainService BlockchainService.ActivityHistoryEntry BlockchainService.ImpedimentsLiveData BlockchainService.LocalBinder BlockchainService.NewTransactionLiveData BlockchainService.NewTransactionLiveData.WalletListener BlockchainService.PeerConnectivityListener BlockchainState BlockchainState.Impediment BlockchainStateLiveData Bluetooth BootstrapReceiver CameraManager CircularProgressView ConfigFormatLiveData ConfigOwnNameLiveData Configuration CrashReporter CrashReporter.ExceptionHandler Crypto CurrencyAmountView CurrencyAmountView.Listener CurrencyAmountView.TextViewListener CurrencyCalculatorLink CurrencySymbolDrawable CurrencyTextView DiagnosticsFragment DialogBuilder DirectPaymentTask DirectPaymentTask.BluetoothPaymentTask DirectPaymentTask.HttpPaymentTask DirectPaymentTask.ResultCallback DynamicFeeLiveData EditAddressBookEntryFragment EncryptKeysDialogFragment EncryptKeysDialogFragment.State ExchangeRate ExchangeRatesActivity ExchangeRatesAdapter ExchangeRatesAdapter.ListItem ExchangeRatesAdapter.OnClickListener ExchangeRatesAdapter.ViewHolder ExchangeRatesFragment ExchangeRatesFragment.ExchangeRatesLiveData ExchangeRatesFragment.ViewModel ExchangeRatesProvider ExtendedPublicKeyFragment FancyListFragment FeeCategory FileAdapter GenericUtils InactivityNotificationService InputParser InputParser.BinaryInputParser InputParser.StreamInputParser InputParser.StringInputParser Io Iso8601Format MaintenanceDialogFragment MaintenanceDialogFragment.State MaybeMaintenanceFragment MaybeMaintenanceViewModel MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData NetworkMonitorActivity OnFirstPreDraw OnFirstPreDraw.Callback PaymentIntent PaymentIntent.Output PaymentIntent.Standard PeerListAdapter PeerListAdapter.ViewHolder PeerListFragment PeerListFragment.HostnamesLiveData PeerListFragment.PeersLiveData PeerListFragment.ViewModel Qr RaiseFeeDialogFragment RaiseFeeDialogFragment.State RaiseFeeDialogFragment.ViewModel ReportIssueDialogBuilder ReportIssueDialogFragment ReportIssueViewModel RequestCoinsActivity RequestCoinsFragment RequestCoinsViewModel RequestCoinsViewModel.FreshReceiveAddressLiveData RequestPaymentRequestTask RequestPaymentRequestTask.BluetoothRequestTask RequestPaymentRequestTask.HttpRequestTask RequestPaymentRequestTask.ResultCallback RequestWalletBalanceTask RequestWalletBalanceTask.ElectrumServer RequestWalletBalanceTask.ElectrumServer.Type RequestWalletBalanceTask.JsonRpcRequest RequestWalletBalanceTask.JsonRpcResponse.Utxo RequestWalletBalanceTask.ResultCallback ResolveDnsTask RestoreWalletDialogFragment RestoreWalletDialogFragment.SuccessDialogFragment RestoreWalletFromExternalActivity RestoreWalletFromExternalDialogFragment RestoreWalletFromExternalDialogFragment.SuccessDialogFragment RestoreWalletViewModel ScanActivity ScanActivity.AutoFocusRunnable ScanViewModel ScannerView SelectedExchangeRateLiveData SendCoinsActivity SendCoinsFragment SendCoinsFragment.ReceivingAddressListener SendCoinsFragment.ReceivingAddressViewAdapter SendCoinsQrActivity SendCoinsViewModel SendCoinsViewModel.State SendingAddressesFragment SendingAddressesViewModel SendingAddressesViewModel.AddressesToExcludeLiveData SendingAddressesViewModel.ClipLiveData SettingsFragment SingleLiveEvent SweepWalletActivity SweepWalletFragment SweepWalletFragment.State SweepWalletFragment.ViewModel ThrottelingLiveData TimeLiveData TransactionsAdapter TransactionsAdapter.ChangeType TransactionsAdapter.ItemAnimator TransactionsAdapter.ListItem TransactionsAdapter.ListItem.TransactionItem TransactionsAdapter.ListItem.WarningItem TransactionsAdapter.OnClickListener TransactionsAdapter.TransactionViewHolder TransactionsAdapter.WarningType UpgradeWalletService ViewPagerTabs WalletActionsFragment WalletActivity WalletAddressDialogFragment WalletAddressFragment WalletAddressViewModel WalletAddressViewModel.CurrentAddressLiveData WalletAddressViewModel.CurrentAddressLiveData.WalletListener WalletAddressesAdapter WalletAddressesFragment WalletAddressesViewModel WalletAddressesViewModel.ImportedKeysLiveData WalletAddressesViewModel.IssuedReceiveKeysLiveData WalletApplication WalletApplication.OnWalletLoadedListener WalletBalanceFragment WalletBalanceFragment.ViewModel WalletBalanceLiveData WalletBalanceLiveData.WalletListener WalletBalanceWidgetProvider WalletDisclaimerFragment WalletDisclaimerFragment.DisclaimerEnabledLiveData WalletDisclaimerFragment.ViewModel WalletLiveData WalletTransactionsFragment WalletTransactionsViewModel WalletTransactionsViewModel.Direction WalletTransactionsViewModel.TransactionsConfidenceLiveData WalletTransactionsViewModel.TransactionsLiveData WalletTransactionsViewModel.TransactionsLiveData.WalletListener WalletUtils WalletUtils.MonospaceSpan WalletViewModel WalletViewModel.EnterAnimationState WalletViewModel.WalletEncryptedLiveData","7.615","196","0","C120445","false","C120445",
,"0.0","0.0","0",,"false","AboutFragment AbstractWalletLiveData AcceptBluetoothService AcceptBluetoothThread AcceptBluetoothThread.ClassicBluetoothThread AcceptBluetoothThread.PaymentProtocolThread AlertDialogsFragment BackupWalletViewModel BlockListFragment.BlocksLiveData BlockListFragment.TransactionsLiveData BlockListFragment.ViewModel BlockchainService BlockchainService.ActivityHistoryEntry BlockchainService.ImpedimentsLiveData BlockchainService.LocalBinder BlockchainService.PeerConnectivityListener DiagnosticsFragment PeerListFragment.HostnamesLiveData PeerListFragment.PeersLiveData PeerListFragment.ViewModel ReportIssueDialogFragment ReportIssueViewModel SendingAddressesViewModel SendingAddressesViewModel.AddressesToExcludeLiveData SendingAddressesViewModel.ClipLiveData ThrottelingLiveData TimeLiveData UpgradeWalletService WalletAddressesViewModel WalletAddressesViewModel.ImportedKeysLiveData WalletAddressesViewModel.IssuedReceiveKeysLiveData WalletApplication WalletApplication.OnWalletLoadedListener WalletLiveData WalletTransactionsViewModel.Direction WalletTransactionsViewModel.TransactionsConfidenceLiveData","5.17","36",,"C120431","false","C120431",
,"0.0","0.0","0",,"false","BlockchainState BlockchainState.Impediment BlockchainStateLiveData CircularProgressView CurrencyTextView ExchangeRatesAdapter ExchangeRatesAdapter.OnClickListener ExchangeRatesAdapter.ViewHolder ExchangeRatesFragment ExchangeRatesFragment.ExchangeRatesLiveData ExchangeRatesFragment.ViewModel MaybeMaintenanceFragment MaybeMaintenanceViewModel MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData RequestCoinsViewModel RequestCoinsViewModel.FreshReceiveAddressLiveData RestoreWalletViewModel SelectedExchangeRateLiveData TransactionsAdapter.ChangeType TransactionsAdapter.ListItem.TransactionItem TransactionsAdapter.TransactionViewHolder WalletBalanceFragment WalletBalanceFragment.ViewModel WalletBalanceLiveData WalletBalanceLiveData.WalletListener WalletDisclaimerFragment WalletDisclaimerFragment.DisclaimerEnabledLiveData WalletDisclaimerFragment.ViewModel","4.807","28",,"C120432","false","C120432",
,"0.0","0.0","0",,"false","AbstractWalletActivity AddressBookActivity AddressBookDao AppDatabase BackupWalletDialogFragment BlockchainService.NewTransactionLiveData BlockchainService.NewTransactionLiveData.WalletListener Crypto EditAddressBookEntryFragment EncryptKeysDialogFragment EncryptKeysDialogFragment.State ExchangeRatesActivity FancyListFragment FileAdapter Io Iso8601Format MaintenanceDialogFragment MaintenanceDialogFragment.State RequestCoinsActivity RestoreWalletDialogFragment RestoreWalletFromExternalActivity RestoreWalletFromExternalDialogFragment SendingAddressesFragment SweepWalletActivity ViewPagerTabs WalletAddressesAdapter WalletAddressesFragment WalletUtils.MonospaceSpan","4.807","28",,"C120433","false","C120433",
,"0.0","0.0","0",,"false","Base43 CrashReporter CrashReporter.ExceptionHandler DialogBuilder ExtendedPublicKeyFragment InputParser InputParser.BinaryInputParser InputParser.StreamInputParser InputParser.StringInputParser OnFirstPreDraw OnFirstPreDraw.Callback Qr ReportIssueDialogBuilder RestoreWalletDialogFragment.SuccessDialogFragment RestoreWalletFromExternalDialogFragment.SuccessDialogFragment SendCoinsQrActivity WalletActionsFragment WalletActivity WalletAddressDialogFragment WalletUtils WalletViewModel WalletViewModel.EnterAnimationState WalletViewModel.WalletEncryptedLiveData","4.524","23",,"C120434","false","C120434",
,"0.0","0.0","0",,"false","BootstrapReceiver ConfigFormatLiveData ConfigOwnNameLiveData Configuration ExchangeRate ExchangeRatesAdapter.ListItem ExchangeRatesProvider InactivityNotificationService ResolveDnsTask SettingsFragment WalletAddressFragment WalletAddressViewModel WalletAddressViewModel.CurrentAddressLiveData WalletAddressViewModel.CurrentAddressLiveData.WalletListener WalletBalanceWidgetProvider","3.907","15",,"C120435","false","C120435",
,"0.0","0.0","0",,"false","AddressBookEntry Bluetooth GenericUtils PaymentIntent PaymentIntent.Output PaymentIntent.Standard RequestPaymentRequestTask RequestPaymentRequestTask.BluetoothRequestTask RequestPaymentRequestTask.HttpRequestTask RequestPaymentRequestTask.ResultCallback SendCoinsFragment SendCoinsFragment.ReceivingAddressListener SendCoinsFragment.ReceivingAddressViewAdapter","3.7","13",,"C120436","false","C120436",
,"0.0","0.0","0",,"false","AddressAndLabel DynamicFeeLiveData FeeCategory RaiseFeeDialogFragment RaiseFeeDialogFragment.State RaiseFeeDialogFragment.ViewModel SendCoinsActivity SendCoinsViewModel SendCoinsViewModel.State SweepWalletFragment SweepWalletFragment.State SweepWalletFragment.ViewModel","3.585","12",,"C120437","false","C120437",
,"0.0","0.0","0",,"false","TransactionsAdapter TransactionsAdapter.ItemAnimator TransactionsAdapter.ListItem TransactionsAdapter.ListItem.WarningItem TransactionsAdapter.OnClickListener TransactionsAdapter.WarningType WalletTransactionsFragment WalletTransactionsViewModel WalletTransactionsViewModel.TransactionsLiveData WalletTransactionsViewModel.TransactionsLiveData.WalletListener","3.322","10",,"C120438","false","C120438",
,"0.0","0.0","0",,"false","BlockListAdapter BlockListAdapter.ListItem.ListTransaction BlockListAdapter.OnClickListener BlockListAdapter.ViewHolder BlockListFragment NetworkMonitorActivity PeerListAdapter PeerListAdapter.ViewHolder PeerListFragment","3.17","9",,"C120439","false","C120439",
,"0.0","0.0","0",,"false","CameraManager ScanActivity ScanActivity.AutoFocusRunnable ScanViewModel ScannerView SingleLiveEvent","2.585","6",,"C120440","false","C120440",
,"0.0","0.0","0",,"false","CurrencyAmountView CurrencyAmountView.Listener CurrencyAmountView.TextViewListener CurrencyCalculatorLink CurrencySymbolDrawable RequestCoinsFragment","2.585","6",,"C120441","false","C120441",
,"0.0","0.0","0",,"false","RequestWalletBalanceTask RequestWalletBalanceTask.JsonRpcRequest RequestWalletBalanceTask.JsonRpcResponse.Utxo RequestWalletBalanceTask.ResultCallback","2.0","4",,"C120442","false","C120442",
,"0.0","0.0","0",,"false","DirectPaymentTask DirectPaymentTask.BluetoothPaymentTask DirectPaymentTask.HttpPaymentTask DirectPaymentTask.ResultCallback","2.0","4",,"C120443","false","C120443",
,"0.0","0.0","0",,"false","RequestWalletBalanceTask.ElectrumServer RequestWalletBalanceTask.ElectrumServer.Type","1.0","2",,"C120444","false","C120444",
