,source,target,interaction,weight
0,Live-Data-Wallet,View-Wallet-Fragment,returns,1
1,Live-Data-Wallet,View-Wallet-Fragment,constructs,2
2,Live-Data-Wallet,Fragment-Wallet-Dialog,holds,3
3,Live-Data-Wallet,Fragment-Wallet-Dialog,depends,3
4,Live-Data-Wallet,Wallet-Input-Parser,depends,2
5,Live-Data-Wallet,Wallet-Address-Live,depends,6
6,Live-Data-Wallet,Wallet-Address-Live,holds,3
7,Live-Data-Wallet,Wallet-Address-Live,returns,1
8,Live-Data-Wallet,Wallet-Address-Live,constructs,2
9,Live-Data-Wallet,Transactions-Adapter-Wallet,constructs,1
10,View-Wallet-Fragment,Live-Data-Wallet,accepts,7
11,View-Wallet-Fragment,Live-Data-Wallet,holds,9
12,View-Wallet-Fragment,Live-Data-Wallet,depends,7
13,View-Wallet-Fragment,Live-Data-Wallet,specializes,1
14,View-Wallet-Fragment,Fragment-Wallet-Dialog,holds,1
15,View-Wallet-Fragment,Fragment-Wallet-Dialog,depends,1
16,View-Wallet-Fragment,Wallet-Input-Parser,holds,1
17,View-Wallet-Fragment,Wallet-Address-Live,depends,6
18,View-Wallet-Fragment,Wallet-Address-Live,holds,6
19,View-Wallet-Fragment,Wallet-Address-Live,constructs,1
20,View-Wallet-Fragment,Request-Payment-Task,depends,1
21,View-Wallet-Fragment,Transactions-Adapter-Wallet,specializes,1
22,Fragment-Wallet-Dialog,Live-Data-Wallet,depends,7
23,Fragment-Wallet-Dialog,Live-Data-Wallet,holds,10
24,Fragment-Wallet-Dialog,Live-Data-Wallet,returns,1
25,Fragment-Wallet-Dialog,View-Wallet-Fragment,holds,2
26,Fragment-Wallet-Dialog,Wallet-Input-Parser,depends,3
27,Fragment-Wallet-Dialog,Wallet-Input-Parser,constructs,1
28,Fragment-Wallet-Dialog,Wallet-Address-Live,depends,5
29,Fragment-Wallet-Dialog,Wallet-Address-Live,holds,2
30,Fragment-Wallet-Dialog,Request-Payment-Task,accepts,1
31,Fragment-Wallet-Dialog,Request-Payment-Task,depends,2
32,Wallet-Input-Parser,Live-Data-Wallet,depends,1
33,Wallet-Input-Parser,Live-Data-Wallet,holds,2
34,Wallet-Input-Parser,Live-Data-Wallet,accepts,1
35,Wallet-Input-Parser,Live-Data-Wallet,specializes,1
36,Wallet-Input-Parser,Fragment-Wallet-Dialog,depends,1
37,Wallet-Input-Parser,Fragment-Wallet-Dialog,specializes,1
38,Wallet-Input-Parser,Wallet-Address-Live,depends,1
39,Wallet-Input-Parser,Request-Payment-Task,accepts,1
40,Wallet-Input-Parser,Request-Payment-Task,returns,1
41,Wallet-Input-Parser,Request-Payment-Task,constructs,1
42,Wallet-Input-Parser,Request-Payment-Task,depends,1
43,Wallet-Address-Live,Live-Data-Wallet,depends,8
