,id,name,words,members_str
0,Live-Data-Wallet,Live-Data-Wallet,Blockchain Service Blockchain Service Local Binder Accept Bluetooth Thread Payment Protocol Thread Accept Bluetooth Service Time Live Data Wallet Transactions View Model Direction Alert Dialogs Fragment Blockchain Service Peer Connectivity Listener Upgrade Wallet Service Peer List Fragment Peers Live Data Wallet Transactions View Model Transactions Confidence Live Data Block List Fragment Blocks Live Data Sending Addresses View Model Addresses To Exclude Live Data Sending Addresses View Model Clip Live Data Diagnostics Fragment Sending Addresses View Model Wallet Addresses View Model Backup Wallet View Model Peer List Fragment View Model Accept Bluetooth Thread Throtteling Live Data Peer List Fragment Hostnames Live Data Report Issue Dialog Fragment Accept Bluetooth Thread Classic Bluetooth Thread Wallet Application On Wallet Loaded Listener Abstract Wallet Live Data Wallet Live Data Block List Fragment Transactions Live Data Block List Fragment View Model About Fragment Wallet Addresses View Model Imported Keys Live Data Blockchain Service Impediments Live Data Report Issue View Model Blockchain Service Activity History Entry Wallet Addresses View Model Issued Receive Keys Live Data Wallet Application,BlockchainService BlockchainService.LocalBinder AcceptBluetoothThread.PaymentProtocolThread AcceptBluetoothService TimeLiveData WalletTransactionsViewModel.Direction AlertDialogsFragment BlockchainService.PeerConnectivityListener UpgradeWalletService PeerListFragment.PeersLiveData WalletTransactionsViewModel.TransactionsConfidenceLiveData BlockListFragment.BlocksLiveData SendingAddressesViewModel.AddressesToExcludeLiveData SendingAddressesViewModel.ClipLiveData DiagnosticsFragment SendingAddressesViewModel WalletAddressesViewModel BackupWalletViewModel PeerListFragment.ViewModel AcceptBluetoothThread ThrottelingLiveData PeerListFragment.HostnamesLiveData ReportIssueDialogFragment AcceptBluetoothThread.ClassicBluetoothThread WalletApplication.OnWalletLoadedListener AbstractWalletLiveData WalletLiveData BlockListFragment.TransactionsLiveData BlockListFragment.ViewModel AboutFragment WalletAddressesViewModel.ImportedKeysLiveData BlockchainService.ImpedimentsLiveData ReportIssueViewModel BlockchainService.ActivityHistoryEntry WalletAddressesViewModel.IssuedReceiveKeysLiveData WalletApplication
1,View-Wallet-Fragment,View-Wallet-Fragment,Transactions Adapter Change Type Exchange Rates Fragment Exchange Rates Live Data Wallet Disclaimer Fragment Request Coins View Model Fresh Receive Address Live Data Wallet Balance Live Data Exchange Rates Adapter Circular Progress View Blockchain State Exchange Rates Fragment View Model Wallet Disclaimer Fragment View Model Maybe Maintenance Fragment Maybe Maintenance View Model Transactions Adapter List Item Transaction Item Currency Text View Restore Wallet View Model Exchange Rates Fragment Blockchain State Impediment Blockchain State Live Data Maybe Maintenance View Model Wallet Maintenance Recommended Live Data Wallet Balance Fragment Request Coins View Model Wallet Balance Fragment View Model Transactions Adapter Transaction View Holder Wallet Disclaimer Fragment Disclaimer Enabled Live Data Wallet Balance Live Data Wallet Listener Exchange Rates Adapter On Click Listener Selected Exchange Rate Live Data Exchange Rates Adapter View Holder,TransactionsAdapter.ChangeType ExchangeRatesFragment.ExchangeRatesLiveData WalletDisclaimerFragment RequestCoinsViewModel.FreshReceiveAddressLiveData WalletBalanceLiveData ExchangeRatesAdapter CircularProgressView BlockchainState ExchangeRatesFragment.ViewModel WalletDisclaimerFragment.ViewModel MaybeMaintenanceFragment MaybeMaintenanceViewModel TransactionsAdapter.ListItem.TransactionItem CurrencyTextView RestoreWalletViewModel ExchangeRatesFragment BlockchainState.Impediment BlockchainStateLiveData MaybeMaintenanceViewModel.WalletMaintenanceRecommendedLiveData WalletBalanceFragment RequestCoinsViewModel WalletBalanceFragment.ViewModel TransactionsAdapter.TransactionViewHolder WalletDisclaimerFragment.DisclaimerEnabledLiveData WalletBalanceLiveData.WalletListener ExchangeRatesAdapter.OnClickListener SelectedExchangeRateLiveData ExchangeRatesAdapter.ViewHolder
2,Fragment-Wallet-Dialog,Fragment-Wallet-Dialog,Io Crypto Maintenance Dialog Fragment State Blockchain Service New Transaction Live Data Fancy List Fragment Restore Wallet Dialog Fragment Wallet Utils Monospace Span Sending Addresses Fragment Sweep Wallet Activity View Pager Tabs Edit Address Book Entry Fragment Maintenance Dialog Fragment Blockchain Service New Transaction Live Data Wallet Listener Exchange Rates Activity Encrypt Keys Dialog Fragment Address Book Activity Restore Wallet From External Activity Iso Format Wallet Addresses Adapter Backup Wallet Dialog Fragment Restore Wallet From External Dialog Fragment Wallet Addresses Fragment Abstract Wallet Activity File Adapter App Database Encrypt Keys Dialog Fragment State Address Book Dao Request Coins Activity,Io Crypto MaintenanceDialogFragment.State BlockchainService.NewTransactionLiveData FancyListFragment RestoreWalletDialogFragment WalletUtils.MonospaceSpan SendingAddressesFragment SweepWalletActivity ViewPagerTabs EditAddressBookEntryFragment MaintenanceDialogFragment BlockchainService.NewTransactionLiveData.WalletListener ExchangeRatesActivity EncryptKeysDialogFragment AddressBookActivity RestoreWalletFromExternalActivity Iso8601Format WalletAddressesAdapter BackupWalletDialogFragment RestoreWalletFromExternalDialogFragment WalletAddressesFragment AbstractWalletActivity FileAdapter AppDatabase EncryptKeysDialogFragment.State AddressBookDao RequestCoinsActivity
3,Wallet-Input-Parser,Wallet-Input-Parser,Input Parser Restore Wallet From External Dialog Fragment Success Dialog Fragment Send Coins Qr Activity Restore Wallet Dialog Fragment Success Dialog Fragment Base On First Pre Draw Callback Crash Reporter Dialog Builder Qr Crash Reporter Exception Handler Input Parser Stream Input Parser Wallet Address Dialog Fragment Wallet Utils Wallet View Model Wallet Actions Fragment Wallet View Model Enter Animation State Wallet View Model Wallet Encrypted Live Data On First Pre Draw Report Issue Dialog Builder Extended Public Key Fragment Input Parser String Input Parser Input Parser Binary Input Parser Wallet Activity,InputParser RestoreWalletFromExternalDialogFragment.SuccessDialogFragment SendCoinsQrActivity RestoreWalletDialogFragment.SuccessDialogFragment Base43 OnFirstPreDraw.Callback CrashReporter DialogBuilder Qr CrashReporter.ExceptionHandler InputParser.StreamInputParser WalletAddressDialogFragment WalletUtils WalletViewModel WalletActionsFragment WalletViewModel.EnterAnimationState WalletViewModel.WalletEncryptedLiveData OnFirstPreDraw ReportIssueDialogBuilder ExtendedPublicKeyFragment InputParser.StringInputParser InputParser.BinaryInputParser WalletActivity
4,Wallet-Address-Live,Wallet-Address-Live,Exchange Rates Provider Exchange Rate Settings Fragment Inactivity Notification Service Wallet Balance Widget Provider Resolve Dns Task Config Format Live Data Configuration Exchange Rates Adapter List Item Config Own Name Live Data Wallet Address Fragment Wallet Address View Model Current Address Live Data Wallet Address View Model Bootstrap Receiver Wallet Address View Model Current Address Live Data Wallet Listener,ExchangeRatesProvider ExchangeRate SettingsFragment InactivityNotificationService WalletBalanceWidgetProvider ResolveDnsTask ConfigFormatLiveData Configuration ExchangeRatesAdapter.ListItem ConfigOwnNameLiveData WalletAddressFragment WalletAddressViewModel.CurrentAddressLiveData WalletAddressViewModel BootstrapReceiver WalletAddressViewModel.CurrentAddressLiveData.WalletListener
5,Request-Payment-Task,Request-Payment-Task,Request Payment Request Task Http Request Task Send Coins Fragment Address Book Entry Request Payment Request Task Bluetooth Request Task Request Payment Request Task Result Callback Bluetooth Send Coins Fragment Receiving Address View Adapter Payment Intent Standard Send Coins Fragment Receiving Address Listener Generic Utils Request Payment Request Task Payment Intent Output Payment Intent,RequestPaymentRequestTask.HttpRequestTask SendCoinsFragment AddressBookEntry RequestPaymentRequestTask.BluetoothRequestTask RequestPaymentRequestTask.ResultCallback Bluetooth SendCoinsFragment.ReceivingAddressViewAdapter PaymentIntent.Standard SendCoinsFragment.ReceivingAddressListener GenericUtils RequestPaymentRequestTask PaymentIntent.Output PaymentIntent
6,Fragment-Fee-View,Fragment-Fee-View,Send Coins View Model Sweep Wallet Fragment State Send Coins Activity Send Coins View Model State Address And Label Sweep Wallet Fragment View Model Fee Category Dynamic Fee Live Data Raise Fee Dialog Fragment State Sweep Wallet Fragment Raise Fee Dialog Fragment View Model Raise Fee Dialog Fragment,SendCoinsViewModel SweepWalletFragment.State SendCoinsActivity SendCoinsViewModel.State AddressAndLabel SweepWalletFragment.ViewModel FeeCategory DynamicFeeLiveData RaiseFeeDialogFragment.State SweepWalletFragment RaiseFeeDialogFragment.ViewModel RaiseFeeDialogFragment
7,Transactions-Adapter-Wallet,Transactions-Adapter-Wallet,Wallet Transactions View Model Transactions Live Data Wallet Listener Wallet Transactions Fragment Transactions Adapter On Click Listener Transactions Adapter List Item Transactions Adapter List Item Warning Item Wallet Transactions View Model Transactions Adapter Wallet Transactions View Model Transactions Live Data Transactions Adapter Warning Type Transactions Adapter Item Animator,WalletTransactionsViewModel.TransactionsLiveData.WalletListener WalletTransactionsFragment TransactionsAdapter.OnClickListener TransactionsAdapter.ListItem TransactionsAdapter.ListItem.WarningItem WalletTransactionsViewModel TransactionsAdapter WalletTransactionsViewModel.TransactionsLiveData TransactionsAdapter.WarningType TransactionsAdapter.ItemAnimator
8,List-Adapter-Block,List-Adapter-Block,Block List Adapter List Item List Transaction Block List Adapter On Click Listener Peer List Fragment Network Monitor Activity Peer List Adapter Block List Adapter View Holder Block List Adapter Block List Fragment Peer List Adapter View Holder,BlockListAdapter.ListItem.ListTransaction BlockListAdapter.OnClickListener PeerListFragment NetworkMonitorActivity PeerListAdapter BlockListAdapter.ViewHolder BlockListAdapter BlockListFragment PeerListAdapter.ViewHolder
9,Scan-Activity-View,Scan-Activity-View,Scan Activity Camera Manager Scan Activity Auto Focus Runnable Single Live Event Scan View Model Scanner View,ScanActivity CameraManager ScanActivity.AutoFocusRunnable SingleLiveEvent ScanViewModel ScannerView
