source,target,interaction,weight
de.schildbach.wallet.Configuration,de.schildbach.wallet.data.ExchangeRate,accepts,1
de.schildbach.wallet.Configuration,de.schildbach.wallet.data.ExchangeRate,depends,1
de.schildbach.wallet.Configuration,de.schildbach.wallet.data.ExchangeRate,returns,1
de.schildbach.wallet.WalletApplication,de.schildbach.wallet.Configuration,depends,1
de.schildbach.wallet.WalletApplication,de.schildbach.wallet.Configuration,holds,1
de.schildbach.wallet.WalletApplication,de.schildbach.wallet.Configuration,returns,1
de.schildbach.wallet.WalletApplication,de.schildbach.wallet.WalletApplication.OnWalletLoadedListener,accepts,1
de.schildbach.wallet.WalletApplication.OnWalletLoadedListener,de.schildbach.wallet.WalletApplication,depends,3
de.schildbach.wallet.WalletBalanceWidgetProvider,de.schildbach.wallet.Configuration,depends,3
de.schildbach.wallet.WalletBalanceWidgetProvider,de.schildbach.wallet.WalletApplication,depends,5
de.schildbach.wallet.WalletBalanceWidgetProvider,de.schildbach.wallet.data.ExchangeRate,accepts,3
de.schildbach.wallet.WalletBalanceWidgetProvider,de.schildbach.wallet.data.ExchangeRate,depends,1
de.schildbach.wallet.WalletBalanceWidgetProvider,de.schildbach.wallet.util.GenericUtils,depends,1
de.schildbach.wallet.data.AbstractWalletLiveData,de.schildbach.wallet.WalletApplication,accepts,2
de.schildbach.wallet.data.AbstractWalletLiveData,de.schildbach.wallet.WalletApplication,depends,1
de.schildbach.wallet.data.AbstractWalletLiveData,de.schildbach.wallet.WalletApplication,holds,1
de.schildbach.wallet.data.AbstractWalletLiveData,de.schildbach.wallet.WalletApplication.OnWalletLoadedListener,holds,1
de.schildbach.wallet.data.AbstractWalletLiveData,de.schildbach.wallet.data.ThrottelingLiveData,specializes,1
de.schildbach.wallet.data.AddressBookDao,de.schildbach.wallet.data.AddressBookEntry,accepts,1
de.schildbach.wallet.data.AppDatabase,de.schildbach.wallet.data.AddressBookDao,returns,1
de.schildbach.wallet.data.BlockchainStateLiveData,de.schildbach.wallet.WalletApplication,accepts,1
de.schildbach.wallet.data.BlockchainStateLiveData,de.schildbach.wallet.WalletApplication,holds,1
de.schildbach.wallet.data.BlockchainStateLiveData,de.schildbach.wallet.service.BlockchainService,depends,1
de.schildbach.wallet.data.BlockchainStateLiveData,de.schildbach.wallet.service.BlockchainService.LocalBinder,depends,1
de.schildbach.wallet.data.ConfigFormatLiveData,de.schildbach.wallet.Configuration,depends,2
de.schildbach.wallet.data.ConfigFormatLiveData,de.schildbach.wallet.Configuration,holds,1
de.schildbach.wallet.data.ConfigFormatLiveData,de.schildbach.wallet.WalletApplication,accepts,1
de.schildbach.wallet.data.ConfigFormatLiveData,de.schildbach.wallet.WalletApplication,depends,1
de.schildbach.wallet.data.ConfigOwnNameLiveData,de.schildbach.wallet.Configuration,depends,2
de.schildbach.wallet.data.ConfigOwnNameLiveData,de.schildbach.wallet.Configuration,holds,1
de.schildbach.wallet.data.ConfigOwnNameLiveData,de.schildbach.wallet.WalletApplication,accepts,1
de.schildbach.wallet.data.ConfigOwnNameLiveData,de.schildbach.wallet.WalletApplication,depends,1
