,source,target,interaction,weight
0,Window-Dockable-Container,Pane-Handler-Option,accepts,11
1,Window-Dockable-Container,Pane-Handler-Option,depends,22
2,Window-Dockable-Container,Pane-Handler-Option,holds,3
3,Window-Dockable-Container,Pane-Handler-Option,constructs,3
4,Window-Dockable-Container,Pane-Handler-Option,returns,1
5,Window-Dockable-Container,Widget-Handler-Factory,depends,9
6,Window-Dockable-Container,Widget-Handler-Factory,accepts,5
7,Window-Dockable-Container,Widget-Handler-Factory,holds,1
8,Window-Dockable-Container,Widget-Handler-Factory,returns,1
9,Window-Dockable-Container,Widget-Handler-Factory,specializes,3
10,Option-Options-Group,Pane-Handler-Option,depends,20
11,Option-Options-Group,Pane-Handler-Option,specializes,3
12,Option-Options-Group,Dialog-Handler-Key,specializes,2
13,Option-Options-Group,Help-Panel-Handler,specializes,1
14,Option-Options-Group,Widget-Handler-Factory,depends,3
15,Option-Options-Group,Widget-Handler-Factory,accepts,1
16,Option-Options-Group,Widget-Handler-Factory,specializes,1
17,Split-Config-Parser,Pane-Handler-Option,depends,1
18,Writer-Code-Item,BSH-Class-Bsh,specializes,2
19,Writer-Code-Item,BSH-Class-Bsh,returns,1
20,Abbrevs-Option-Pane,Pane-Handler-Option,depends,14
21,Abbrevs-Option-Pane,Pane-Handler-Option,specializes,1
22,Abbrevs-Option-Pane,Pane-Handler-Option,constructs,2
23,Abbrevs-Option-Pane,Text-Area-Handler,depends,4
24,Abbrevs-Option-Pane,Widget-Handler-Factory,accepts,1
25,Abbrevs-Option-Pane,Widget-Handler-Factory,holds,1
26,Abbrevs-Option-Pane,Widget-Handler-Factory,depends,1
27,Pane-Handler-Option,Window-Dockable-Container,depends,6
28,Pane-Handler-Option,Window-Dockable-Container,constructs,3
29,Pane-Handler-Option,Window-Dockable-Container,holds,1
30,Pane-Handler-Option,Window-Dockable-Container,specializes,2
31,Pane-Handler-Option,Window-Dockable-Container,accepts,1
32,Pane-Handler-Option,Option-Options-Group,specializes,1
33,Pane-Handler-Option,Option-Options-Group,constructs,2
34,Pane-Handler-Option,Split-Config-Parser,constructs,1
35,Pane-Handler-Option,Split-Config-Parser,depends,1
36,Pane-Handler-Option,Dialog-Handler-Key,returns,3
37,Pane-Handler-Option,Dialog-Handler-Key,depends,6
38,Pane-Handler-Option,Dialog-Handler-Key,specializes,12
39,Pane-Handler-Option,Dialog-Handler-Key,constructs,3
40,Pane-Handler-Option,Help-Panel-Handler,depends,4
41,Pane-Handler-Option,Help-Panel-Handler,constructs,5
42,Pane-Handler-Option,Help-Panel-Handler,specializes,1
43,Pane-Handler-Option,Print-Token-Handler,accepts,4
44,Pane-Handler-Option,Print-Token-Handler,depends,16
45,Pane-Handler-Option,Print-Token-Handler,returns,3
46,Pane-Handler-Option,Print-Token-Handler,holds,3
47,Pane-Handler-Option,Print-Token-Handler,constructs,10
48,Pane-Handler-Option,Print-Token-Handler,specializes,1
49,Pane-Handler-Option,BSH-Class-Bsh,constructs,2
50,Pane-Handler-Option,BSH-Class-Bsh,depends,3
51,Pane-Handler-Option,VFS-Browser-Task,depends,62
52,Pane-Handler-Option,VFS-Browser-Task,returns,3
53,Pane-Handler-Option,VFS-Browser-Task,accepts,16
54,Pane-Handler-Option,VFS-Browser-Task,constructs,16
55,Pane-Handler-Option,VFS-Browser-Task,holds,8
56,Pane-Handler-Option,VFS-Browser-Task,specializes,3
57,Pane-Handler-Option,Text-Area-Handler,depends,51
58,Pane-Handler-Option,Text-Area-Handler,constructs,9
59,Pane-Handler-Option,Text-Area-Handler,accepts,1
60,Pane-Handler-Option,Text-Area-Handler,specializes,2
61,Pane-Handler-Option,Text-Area-Handler,returns,2
62,Pane-Handler-Option,Widget-Handler-Factory,constructs,27
63,Pane-Handler-Option,Widget-Handler-Factory,accepts,24
64,Pane-Handler-Option,Widget-Handler-Factory,returns,7
65,Pane-Handler-Option,Widget-Handler-Factory,depends,70
66,Pane-Handler-Option,Widget-Handler-Factory,holds,12
67,Pane-Handler-Option,Widget-Handler-Factory,specializes,3
68,Dialog-Handler-Key,Pane-Handler-Option,depends,16
69,Dialog-Handler-Key,BSH-Class-Bsh,accepts,1
70,Dialog-Handler-Key,BSH-Class-Bsh,depends,1
71,Dialog-Handler-Key,BSH-Class-Bsh,returns,1
72,Dialog-Handler-Key,VFS-Browser-Task,accepts,1
73,Dialog-Handler-Key,VFS-Browser-Task,holds,1
74,Dialog-Handler-Key,Text-Area-Handler,depends,5
75,Dialog-Handler-Key,Text-Area-Handler,accepts,1
76,Dialog-Handler-Key,Text-Area-Handler,holds,1
77,Dialog-Handler-Key,Widget-Handler-Factory,accepts,1
78,Dialog-Handler-Key,Widget-Handler-Factory,depends,1
