source,target,interaction,weight
com.ultramixer.jarbundler.AppBundleProperties,com.ultramixer.jarbundler.DocumentType,accepts,1
com.ultramixer.jarbundler.AppBundleProperties,com.ultramixer.jarbundler.DocumentType,constructs,1
com.ultramixer.jarbundler.AppBundleProperties,com.ultramixer.jarbundler.DocumentType,returns,1
com.ultramixer.jarbundler.AppBundleProperties,com.ultramixer.jarbundler.Service,accepts,1
com.ultramixer.jarbundler.AppBundleProperties,com.ultramixer.jarbundler.Service,constructs,1
com.ultramixer.jarbundler.AppBundleProperties,com.ultramixer.jarbundler.Service,returns,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.AppBundleProperties,constructs,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.AppBundleProperties,depends,69
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.AppBundleProperties,holds,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.DocumentType,accepts,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.DocumentType,depends,6
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.HelpBook,accepts,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.HelpBook,depends,11
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.JavaProperty,accepts,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.JavaProperty,depends,2
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.LSEnvironment,accepts,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.LSEnvironment,depends,2
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.PropertyListWriter,constructs,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.PropertyListWriter,depends,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.Service,accepts,1
com.ultramixer.jarbundler.JarBundler,com.ultramixer.jarbundler.Service,depends,6
com.ultramixer.jarbundler.PropertyListWriter,com.ultramixer.jarbundler.AppBundleProperties,accepts,1
com.ultramixer.jarbundler.PropertyListWriter,com.ultramixer.jarbundler.AppBundleProperties,depends,68
com.ultramixer.jarbundler.PropertyListWriter,com.ultramixer.jarbundler.AppBundleProperties,holds,1
com.ultramixer.jarbundler.PropertyListWriter,com.ultramixer.jarbundler.DocumentType,depends,8
com.ultramixer.jarbundler.PropertyListWriter,com.ultramixer.jarbundler.Service,depends,8
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArFileSet,accepts,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArFileSet,constructs,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArFileSet,depends,5
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArFileSet,returns,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArLongFileMode,accepts,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArLongFileMode,constructs,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArLongFileMode,depends,8
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.Ar.ArLongFileMode,holds,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.ArEntry,constructs,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.ArEntry,depends,5
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.ArOutputStream,accepts,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.ArOutputStream,constructs,1
de.masters_of_disaster.ant.tasks.ar.Ar,de.masters_of_disaster.ant.tasks.ar.ArOutputStream,depends,7
de.masters_of_disaster.ant.tasks.ar.ArEntry,de.masters_of_disaster.ant.tasks.ar.ArConstants,specializes,1
de.masters_of_disaster.ant.tasks.ar.ArEntry,de.masters_of_disaster.ant.tasks.ar.ArUtils,depends,7
de.masters_of_disaster.ant.tasks.ar.ArOutputStream,de.masters_of_disaster.ant.tasks.ar.ArEntry,accepts,1
de.masters_of_disaster.ant.tasks.ar.ArOutputStream,de.masters_of_disaster.ant.tasks.ar.ArEntry,depends,6
de.masters_of_disaster.ant.tasks.deb.Deb,de.masters_of_disaster.ant.tasks.ar.Ar,constructs,1
de.masters_of_disaster.ant.tasks.deb.Deb,de.masters_of_disaster.ant.tasks.ar.Ar,depends,4
de.masters_of_disaster.ant.tasks.deb.Deb,de.masters_of_disaster.ant.tasks.ar.Ar,holds,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Abbrevs.Expansion,constructs,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Abbrevs.Expansion,returns,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Buffer,depends,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.MiscUtilities,depends,3
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Mode,depends,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.TextUtilities,depends,2
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.View,accepts,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.View,depends,3
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.buffer.JEditBuffer,depends,9
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.gui.AddAbbrevDialog,constructs,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.gui.StatusBar,depends,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.jEdit,depends,6
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.textarea.TextArea,depends,3
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.util.Log,depends,7
org.gjt.sp.jedit.AbstractOptionPane,org.gjt.sp.jedit.OptionPane,specializes,1
org.gjt.sp.jedit.AbstractOptionPane,org.gjt.sp.jedit.jEdit,depends,1
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.ActionSet,returns,1
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.EditAction,returns,1
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.JEditActionContext,depends,2
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.JEditActionContext,specializes,1
