,id,name,package,type,community
0,com.ultramixer.jarbundler.AppBundleProperties,AppBundleProperties,com.ultramixer.jarbundler,Structure,Property-List-Writer
1,com.ultramixer.jarbundler.DocumentType,DocumentType,com.ultramixer.jarbundler,Structure,Property-List-Writer
2,com.ultramixer.jarbundler.HelpBook,HelpBook,com.ultramixer.jarbundler,Structure,Property-List-Writer
3,com.ultramixer.jarbundler.JarBundler,JarBundler,com.ultramixer.jarbundler,Structure,Property-List-Writer
4,com.ultramixer.jarbundler.JavaProperty,JavaProperty,com.ultramixer.jarbundler,Structure,Property-List-Writer
5,com.ultramixer.jarbundler.LSEnvironment,LSEnvironment,com.ultramixer.jarbundler,Structure,Property-List-Writer
6,com.ultramixer.jarbundler.PropertyListWriter,PropertyListWriter,com.ultramixer.jarbundler,Structure,Property-List-Writer
7,com.ultramixer.jarbundler.Service,Service,com.ultramixer.jarbundler,Structure,Property-List-Writer
8,de.masters_of_disaster.ant.tasks.ar.Ar,Ar,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
9,de.masters_of_disaster.ant.tasks.ar.Ar.ArFileSet,Ar.ArFileSet,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
10,de.masters_of_disaster.ant.tasks.ar.Ar.ArLongFileMode,Ar.ArLongFileMode,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
11,de.masters_of_disaster.ant.tasks.ar.ArConstants,ArConstants,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
12,de.masters_of_disaster.ant.tasks.ar.ArEntry,ArEntry,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
13,de.masters_of_disaster.ant.tasks.ar.ArOutputStream,ArOutputStream,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
14,de.masters_of_disaster.ant.tasks.ar.ArUtils,ArUtils,de.masters_of_disaster.ant.tasks.ar,Structure,Ar-File-Utils
15,de.masters_of_disaster.ant.tasks.calculatesize.CalculateSize,CalculateSize,de.masters_of_disaster.ant.tasks.calculatesize,Structure,CalculateSize
16,de.masters_of_disaster.ant.tasks.deb.Deb,Deb,de.masters_of_disaster.ant.tasks.deb,Structure,Ar-File-Utils
17,org.gjt.sp.jedit.Abbrevs,Abbrevs,org.gjt.sp.jedit,Structure,Text-Area-Handler
18,org.gjt.sp.jedit.Abbrevs.Expansion,Abbrevs.Expansion,org.gjt.sp.jedit,Structure,Text-Area-Handler
19,org.gjt.sp.jedit.AbstractOptionPane,AbstractOptionPane,org.gjt.sp.jedit,Structure,Pane-Handler-Option
20,org.gjt.sp.jedit.ActionContext,ActionContext,org.gjt.sp.jedit,Structure,VFS-Browser-Task
21,org.gjt.sp.jedit.ActionListHandler,ActionListHandler,org.gjt.sp.jedit,Structure,Pane-Handler-Option
22,org.gjt.sp.jedit.ActionSet,ActionSet,org.gjt.sp.jedit,Structure,Pane-Handler-Option
23,org.gjt.sp.jedit.Autosave,Autosave,org.gjt.sp.jedit,Structure,Pane-Handler-Option
24,org.gjt.sp.jedit.BeanShell,BeanShell,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
25,org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,BeanShell.MyBeanShellFacade,org.gjt.sp.jedit,Structure,BSH-Class-Bsh
26,org.gjt.sp.jedit.BeanShellAction,BeanShellAction,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
27,org.gjt.sp.jedit.BeanShellAction.CachedBshMethod,BeanShellAction.CachedBshMethod,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
28,org.gjt.sp.jedit.BeanShellFacade,BeanShellFacade,org.gjt.sp.jedit,Structure,BSH-Class-Bsh
29,org.gjt.sp.jedit.Buffer,Buffer,org.gjt.sp.jedit,Structure,VFS-Browser-Task
30,org.gjt.sp.jedit.BufferHistory,BufferHistory,org.gjt.sp.jedit,Structure,Pane-Handler-Option
31,org.gjt.sp.jedit.BufferHistory.Entry,BufferHistory.Entry,org.gjt.sp.jedit,Structure,Pane-Handler-Option
32,org.gjt.sp.jedit.BufferHistory.RecentHandler,BufferHistory.RecentHandler,org.gjt.sp.jedit,Structure,Pane-Handler-Option
33,org.gjt.sp.jedit.Debug,Debug,org.gjt.sp.jedit,Structure,Pane-Handler-Option
34,org.gjt.sp.jedit.EBComponent,EBComponent,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
35,org.gjt.sp.jedit.EBMessage,EBMessage,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
36,org.gjt.sp.jedit.EBPlugin,EBPlugin,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
37,org.gjt.sp.jedit.EditAction,EditAction,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
38,org.gjt.sp.jedit.EditAction.Wrapper,EditAction.Wrapper,org.gjt.sp.jedit,Structure,VFS-Browser-Task
39,org.gjt.sp.jedit.EditBus,EditBus,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
40,org.gjt.sp.jedit.EditBus.EBMessageHandler,EditBus.EBMessageHandler,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
41,org.gjt.sp.jedit.EditBus.HandlerList,EditBus.HandlerList,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
42,org.gjt.sp.jedit.EditBus.SendMessage,EditBus.SendMessage,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
43,org.gjt.sp.jedit.EditPane,EditPane,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
44,org.gjt.sp.jedit.EditPane.CaretInfo,EditPane.CaretInfo,org.gjt.sp.jedit,Structure,Text-Area-Handler
45,org.gjt.sp.jedit.EditPane.MarkerHighlight,EditPane.MarkerHighlight,org.gjt.sp.jedit,Structure,Text-Area-Handler
46,org.gjt.sp.jedit.EditPane.StatusHandler,EditPane.StatusHandler,org.gjt.sp.jedit,Structure,Widget-Handler-Factory
47,org.gjt.sp.jedit.EditPlugin,EditPlugin,org.gjt.sp.jedit,Structure,Pane-Handler-Option
48,org.gjt.sp.jedit.EditPlugin.Broken,EditPlugin.Broken,org.gjt.sp.jedit,Structure,Pane-Handler-Option
49,org.gjt.sp.jedit.EditPlugin.Deferred,EditPlugin.Deferred,org.gjt.sp.jedit,Structure,Pane-Handler-Option
50,org.gjt.sp.jedit.EditServer,EditServer,org.gjt.sp.jedit,Structure,Pane-Handler-Option
51,org.gjt.sp.jedit.GUIUtilities,GUIUtilities,org.gjt.sp.jedit,Structure,Pane-Handler-Option
52,org.gjt.sp.jedit.GUIUtilities.SizeSaver,GUIUtilities.SizeSaver,org.gjt.sp.jedit,Structure,Pane-Handler-Option
53,org.gjt.sp.jedit.GUIUtilities.UnixWorkaround,GUIUtilities.UnixWorkaround,org.gjt.sp.jedit,Structure,Pane-Handler-Option
54,org.gjt.sp.jedit.GUIUtilities.UnixWorkaround.ComponentHandler,GUIUtilities.UnixWorkaround.ComponentHandler,org.gjt.sp.jedit,Structure,Pane-Handler-Option
55,org.gjt.sp.jedit.GUIUtilities.UnixWorkaround.WindowHandler,GUIUtilities.UnixWorkaround.WindowHandler,org.gjt.sp.jedit,Structure,Pane-Handler-Option
56,org.gjt.sp.jedit.IPropertyManager,IPropertyManager,org.gjt.sp.jedit,Structure,Print-Token-Handler
57,org.gjt.sp.jedit.JARClassLoader,JARClassLoader,org.gjt.sp.jedit,Structure,Pane-Handler-Option
58,org.gjt.sp.jedit.JARClassLoader.SingleElementEnumeration,JARClassLoader.SingleElementEnumeration,org.gjt.sp.jedit,Structure,Pane-Handler-Option
59,org.gjt.sp.jedit.JEditAbstractEditAction,JEditAbstractEditAction,org.gjt.sp.jedit,Structure,Pane-Handler-Option
