id,fullName,name,type
n0,java+method://CH.ifa.draw.contrib.PolygonFigure.handles(),handles,Operation
n1,java+field://CH.ifa.draw.util.CommandChoice.fCommands,fCommands,Variable
n10,java+method://CH.ifa.draw.standard.CreationTool.createdFigure(),createdFigure,Operation
n100,"java+method://CH.ifa.draw.figures.LineConnection.setPointAt(java.awt.Point,int)",setPointAt,Operation
n1000,java+method://CH.ifa.draw.standard.ChangeAttributeCommand.execute(),execute,Operation
n1001,java+package://CH.ifa.draw.standard,standard,Container
n1002,java+class://CH.ifa.draw.standard.DeleteCommand,DeleteCommand,Structure
n1003,java+constructor://CH.ifa.draw.applet.DrawApplet.createButtons(java.awt.Panel).$anonymous3.(),,Constructor
n1004,java+method://CH.ifa.draw.contrib.PolygonFigure.getPolygon(),getPolygon,Operation
n1005,java+method://CH.ifa.draw.framework.FigureChangeListener.figureChanged(CH.ifa.draw.framework.FigureChangeEvent),figureChanged,Operation
n1006,java+method://CH.ifa.draw.samples.javadraw.Animator.end(),end,Operation
n1007,"java+method://CH.ifa.draw.samples.javadraw.MySelectionTool.mouseDown(java.awt.event.MouseEvent,int,int)",mouseDown,Operation
n1008,"java+method://CH.ifa.draw.samples.pert.PertFigure.basicMoveBy(int,int)",basicMoveBy,Operation
n1009,java+field://CH.ifa.draw.figures.PolyLineFigure.fFrameColor,fFrameColor,Variable
n101,"java+method://CH.ifa.draw.framework.Figure.containsPoint(int,int)",containsPoint,Operation
n1010,java+method://CH.ifa.draw.standard.StandardDrawing.remove(CH.ifa.draw.framework.Figure),remove,Operation
n1011,java+method://CH.ifa.draw.figures.GroupCommand.isExecutable(),isExecutable,Operation
n1012,java+method://CH.ifa.draw.application.DrawApplication.saveAsStorableOutput(java.lang.String),saveAsStorableOutput,Operation
n1013,java+method://CH.ifa.draw.applet.DrawApplet.loadDrawing(java.lang.String),loadDrawing,Operation
n1014,java+field://CH.ifa.draw.util.Clipboard.fgClipboard,fgClipboard,Variable
n1015,java+field://CH.ifa.draw.contrib.PolygonFigure.serialVersionUID,serialVersionUID,Variable
n1016,java+field://CH.ifa.draw.figures.RectangleFigure.rectangleFigureSerializedDataVersion,rectangleFigureSerializedDataVersion,Variable
n1017,java+constructor://java.util.StringTokenizer.StringTokenizer(java.lang.String),,Constructor
n1018,java+field://CH.ifa.draw.util.PaletteLayout.fVerticalLayout,fVerticalLayout,Variable
