"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","level","name","selected","shared name","wordcloud.sync"
,"0.0","0.0","0",,"false","AbstractConnector AbstractFigure AbstractHandle AbstractLocator AbstractTool ActionTool AlignCommand Animatable AnimationDecorator Animator ArrowTip AttributeFigure BorderDecorator BorderTool BouncingDrawing BoxHandleKit BringToFrontCommand BufferedUpdateStrategy ChangeAttributeCommand ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle ChopBoxConnector ChopEllipseConnector ChopPolygonConnector Clipboard ColorEntry ColorMap Command CommandButton CommandChoice CommandMenu CompositeFigure ConnectedTextTool ConnectionFigure ConnectionHandle ConnectionTool Connector CopyCommand CreationTool CutCommand DecoratorFigure DeleteCommand DiamondFigure DragTracker DrawApplet DrawApplication Drawing DrawingChangeEvent DrawingChangeListener DrawingEditor DrawingView DuplicateCommand EastHandle ElbowConnection ElbowHandle ElbowTextLocator EllipseFigure Figure FigureAttributes FigureChangeEvent FigureChangeEventMulticaster FigureChangeListener FigureEnumeration FigureEnumerator FigureSelection FigureTransferCommand Filler FloatingTextField FollowURLTool FontSizeHandle Geom GridConstrainer GroupCommand GroupFigure GroupHandle HJDError Handle HandleTracker Iconkit ImageFigure InsertImageCommand JavaDrawApp JavaDrawApplet JavaDrawViewer LineConnection LineDecoration LineFigure Locator LocatorConnector LocatorHandle MySelectionTool NetApp NodeFigure NorthEastHandle NorthHandle NorthWestHandle NothingApp NothingApplet NullHandle NumberTextFigure OffsetLocator Painter PaletteButton PaletteIcon PaletteLayout PaletteListener PasteCommand PatternPainter PertApplet PertApplication PertDependency PertFigure PertFigureCreationTool PointConstrainer PolyLineConnector PolyLineFigure PolyLineHandle PolyLineLocator PolygonFigure PolygonHandle PolygonScaleHandle PolygonTool RadiusHandle RectangleFigure RelativeLocator ReverseFigureEnumerator ReverseVectorEnumerator RoundRectangleFigure ScribbleTool SelectAreaTracker SelectionTool SendToBackCommand ShortestDistanceConnector SimpleUpdateStrategy SleeperThread SouthEastHandle SouthHandle SouthWestHandle StandardDrawing StandardDrawingView Storable StorableInput StorableOutput TextFigure TextHolder TextTool ToggleGridCommand Tool ToolButton TriangleFigure TriangleRotationHandle URLTool UngroupCommand WestHandle","7.276","155","0","C146647","false","C146647",
,"0.0","0.0","0",,"false","Animatable Animator BringToFrontCommand BufferedUpdateStrategy Clipboard Command CommandButton CopyCommand CutCommand DeleteCommand DrawingView DuplicateCommand FigureTransferCommand GroupCommand InsertImageCommand PasteCommand PatternPainter SendToBackCommand SimpleUpdateStrategy ToggleGridCommand UngroupCommand","4.392","21",,"C146633","false","C146633",
,"0.0","0.0","0",,"false","CommandChoice CreationTool DrawApplet Filler HJDError JavaDrawApplet NothingApplet PaletteButton PaletteIcon PaletteLayout PaletteListener PertApplet PertFigureCreationTool SleeperThread ToolButton","3.907","15",,"C146634","false","C146634",
,"0.0","0.0","0",,"false","AbstractTool ActionTool BorderTool ConnectedTextTool DragTracker FloatingTextField FollowURLTool HandleTracker MySelectionTool ScribbleTool SelectAreaTracker SelectionTool TextHolder TextTool URLTool","3.907","15",,"C146635","false","C146635",
,"0.0","0.0","0",,"false","AbstractConnector AbstractLocator GroupFigure GroupHandle Locator LocatorConnector NodeFigure NullHandle NumberTextFigure OffsetLocator PertDependency PertFigure RelativeLocator TextFigure","3.807","14",,"C146636","false","C146636",
,"0.0","0.0","0",,"false","AbstractHandle BoxHandleKit EastHandle FontSizeHandle Handle LocatorHandle NorthEastHandle NorthHandle NorthWestHandle SouthEastHandle SouthHandle SouthWestHandle TriangleRotationHandle WestHandle","3.807","14",,"C146637","false","C146637",
,"0.0","0.0","0",,"false","AttributeFigure DiamondFigure EllipseFigure FigureAttributes FigureSelection Iconkit ImageFigure RadiusHandle RectangleFigure RoundRectangleFigure Storable StorableInput StorableOutput TriangleFigure","3.807","14",,"C146638","false","C146638",
,"0.0","0.0","0",,"false","AbstractFigure AlignCommand AnimationDecorator BorderDecorator BouncingDrawing CompositeFigure DecoratorFigure ElbowTextLocator Figure FigureChangeEvent FigureChangeEventMulticaster FigureChangeListener FigureEnumeration","3.7","13",,"C146639","false","C146639",
,"0.0","0.0","0",,"false","Drawing DrawingChangeEvent DrawingChangeListener DrawingEditor FigureEnumerator GridConstrainer JavaDrawViewer Painter PointConstrainer StandardDrawing StandardDrawingView Tool","3.585","12",,"C146640","false","C146640",
,"0.0","0.0","0",,"false","ArrowTip ElbowConnection ElbowHandle LineConnection LineDecoration LineFigure PolyLineConnector PolyLineFigure PolyLineHandle PolyLineLocator","3.322","10",,"C146641","false","C146641",
