"interaction","name","selected","shared interaction","shared name"
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
"c-c",,"false","c-c",
