"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_heat","diffusion_output_rank","HiDeF_persistence","level","name","selected","shared name"
,"0.0","0.0","0",,"false","AbstractConnector AbstractFigure AbstractHandle AbstractLocator AbstractTool ActionTool AlignCommand Animatable AnimationDecorator Animator ArrowTip AttributeFigure BorderDecorator BorderTool BouncingDrawing BoxHandleKit BringToFrontCommand BufferedUpdateStrategy ChangeAttributeCommand ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle ChopBoxConnector ChopEllipseConnector ChopPolygonConnector Clipboard ColorMap Command CommandButton CommandChoice CommandMenu CompositeFigure ConnectedTextTool ConnectionFigure ConnectionHandle ConnectionTool Connector CopyCommand CreationTool CutCommand DecoratorFigure DeleteCommand DiamondFigure DragTracker DrawApplet DrawApplication Drawing DrawingChangeEvent DrawingChangeListener DrawingEditor DrawingView DuplicateCommand EastHandle ElbowConnection ElbowHandle ElbowTextLocator EllipseFigure Figure FigureAttributes FigureChangeEvent FigureChangeEventMulticaster FigureChangeListener FigureEnumeration FigureEnumerator FigureSelection FigureTransferCommand Filler FloatingTextField FollowURLTool FontSizeHandle Geom GridConstrainer GroupCommand GroupFigure GroupHandle HJDError Handle HandleTracker Iconkit ImageFigure InsertImageCommand JavaDrawApp JavaDrawApplet JavaDrawViewer LineConnection LineDecoration LineFigure Locator LocatorConnector LocatorHandle MySelectionTool NetApp NodeFigure NorthEastHandle NorthHandle NorthWestHandle NothingApp NothingApplet NullHandle NumberTextFigure OffsetLocator Painter PaletteButton PaletteIcon PaletteLayout PaletteListener PasteCommand PatternPainter PertApplet PertApplication PertDependency PertFigure PertFigureCreationTool PointConstrainer PolyLineConnector PolyLineFigure PolyLineHandle PolyLineLocator PolygonFigure PolygonHandle PolygonScaleHandle PolygonTool RadiusHandle RectangleFigure RelativeLocator ReverseFigureEnumerator ReverseVectorEnumerator RoundRectangleFigure ScribbleTool SelectAreaTracker SelectionTool SendToBackCommand ShortestDistanceConnector SimpleUpdateStrategy SleeperThread SouthEastHandle SouthHandle SouthWestHandle StandardDrawing StandardDrawingView Storable StorableInput StorableOutput TextFigure TextHolder TextTool ToggleGridCommand Tool ToolButton TriangleFigure TriangleRotationHandle URLTool UngroupCommand WestHandle","7.267","154","0.0","1.0753178186462252E-4","12","1.0060664761420777E-9","14","0","0","C32277","false","C32277"
,"0.0","0.0","0",,"false","AbstractConnector AbstractFigure AbstractHandle AbstractLocator AnimationDecorator ArrowTip AttributeFigure BorderDecorator BouncingDrawing BoxHandleKit ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle ChopBoxConnector ChopEllipseConnector ChopPolygonConnector ColorMap CompositeFigure ConnectionFigure ConnectionHandle ConnectionTool Connector DecoratorFigure DiamondFigure EastHandle ElbowConnection ElbowHandle ElbowTextLocator EllipseFigure Figure FigureAttributes FigureChangeEvent FigureChangeEventMulticaster FigureChangeListener FigureSelection FontSizeHandle Geom GroupFigure GroupHandle ImageFigure LineConnection LineDecoration LineFigure Locator LocatorConnector LocatorHandle NodeFigure NorthEastHandle NorthHandle NorthWestHandle NothingApplet NullHandle NumberTextFigure OffsetLocator PertDependency PertFigure PolyLineConnector PolyLineFigure PolyLineHandle PolyLineLocator PolygonFigure PolygonHandle PolygonScaleHandle PolygonTool RadiusHandle RectangleFigure RelativeLocator RoundRectangleFigure ScribbleTool ShortestDistanceConnector SouthEastHandle SouthHandle SouthWestHandle StandardDrawing Storable StorableInput StorableOutput TextFigure TriangleFigure TriangleRotationHandle WestHandle","6.34","81","0.0","2.5555561750802446E-6","24","1.3726802884110163E-11","25","23","1","C32278","false","C32278"
,"0.0","0.0","0",,"false","AbstractTool ActionTool AlignCommand BorderTool BringToFrontCommand BufferedUpdateStrategy ChangeAttributeCommand Clipboard Command CommandButton CommandChoice CommandMenu CopyCommand CutCommand DeleteCommand DragTracker DrawApplet DrawApplication Drawing DrawingChangeEvent DrawingChangeListener DrawingEditor DrawingView DuplicateCommand FigureTransferCommand Filler FollowURLTool GridConstrainer GroupCommand HJDError Handle HandleTracker Iconkit ImageFigure InsertImageCommand JavaDrawViewer MySelectionTool NetApp NothingApplet Painter PaletteButton PaletteIcon PaletteLayout PaletteListener PasteCommand PatternPainter PertApplet PointConstrainer SelectAreaTracker SelectionTool SendToBackCommand SimpleUpdateStrategy SleeperThread StandardDrawingView ToggleGridCommand Tool ToolButton UngroupCommand","5.858","58","0.0","0.003398865519377381","4","6.314503598730744E-8","8","37","1","C32279","false","C32279"
,"0.0","0.0","0",,"false","AbstractConnector ArrowTip ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle ChopBoxConnector ChopEllipseConnector ChopPolygonConnector ConnectionFigure ConnectionHandle ConnectionTool Connector ElbowConnection ElbowHandle Geom LineConnection LineDecoration LineFigure LocatorConnector NodeFigure NothingApplet PolyLineConnector PolyLineFigure PolyLineHandle PolyLineLocator ScribbleTool ShortestDistanceConnector","4.755","27","0.0","5.184599709329987E-8","36","1.7094285682475927E-13","36","11","2","C32280","false","C32280"
,"0.0","0.0","0",,"false","AlignCommand BringToFrontCommand BufferedUpdateStrategy ChangeAttributeCommand Clipboard Command CommandButton CommandChoice CommandMenu CopyCommand CutCommand DeleteCommand DrawingView DuplicateCommand FigureTransferCommand GridConstrainer GroupCommand InsertImageCommand Painter PasteCommand PatternPainter SendToBackCommand SimpleUpdateStrategy ToggleGridCommand UngroupCommand","4.644","25","0.0","0.07842181205216164","2","3.3531123429146256E-6","5","18","2","C32281","false","C32281"
,"0.0","0.0","0",,"false","AbstractLocator AttributeFigure ColorMap DiamondFigure EllipseFigure FigureAttributes FigureSelection FontSizeHandle ImageFigure Locator NumberTextFigure OffsetLocator RadiusHandle RectangleFigure RoundRectangleFigure Storable StorableInput StorableOutput TextFigure TriangleFigure TriangleRotationHandle","4.392","21","0.0","5.184665079747948E-8","35","1.709435596428414E-13","35","5","2","C32282","false","C32282"
,"0.0","0.0","0",,"false","DrawApplet DrawApplication Drawing DrawingChangeEvent DrawingChangeListener DrawingEditor Filler GridConstrainer HJDError Iconkit JavaDrawViewer PaletteButton PaletteIcon PaletteLayout PaletteListener PointConstrainer SleeperThread StandardDrawingView Tool ToolButton","4.322","20","0.0","1.156511762336388E-4","10","1.0487557786728026E-9","12","16","2","C32283","false","C32283"
,"0.0","0.0","0",,"false","AlignCommand BringToFrontCommand BufferedUpdateStrategy ChangeAttributeCommand Command CommandButton CommandChoice CommandMenu DrawingView GridConstrainer GroupCommand InsertImageCommand Painter PatternPainter SendToBackCommand SimpleUpdateStrategy ToggleGridCommand UngroupCommand","4.17","18","0.0","0.0038498579155904016","3","1.3686163970072558E-4","3","14","3","C32284","false","C32284"
,"0.0","0.0","0",,"false","AbstractFigure AnimationDecorator BorderDecorator BouncingDrawing BringToFrontCommand CompositeFigure DecoratorFigure FigureChangeEvent FigureChangeEventMulticaster FigureChangeListener FigureEnumeration FigureEnumerator GroupFigure ReverseFigureEnumerator ReverseVectorEnumerator StandardDrawing","4.0","16","0.0","2.762758765928001E-6","23","1.4410303952089023E-11","24","28","1","C32285","false","C32285"
,"0.0","0.0","0",,"false","Animatable Animator CommandMenu ConnectedTextTool CreationTool FloatingTextField HJDError JavaDrawApp JavaDrawApplet PertApplet PertFigureCreationTool ScribbleTool TextHolder TextTool URLTool","3.907","15","0.0","2.7628515499506684E-6","22","1.4410441384756446E-11","23","31","1","C32286","false","C32286"
