,id,name,words,members_str
0,Command-Update-Strategy,Command-Update-Strategy,Copy Command Figure Transfer Command Buffered Update Strategy Delete Command Animatable Toggle Grid Command Clipboard Send To Back Command Duplicate Command Command Pattern Painter Insert Image Command Group Command Paste Command Animator Command Button Drawing View Ungroup Command Bring To Front Command Simple Update Strategy Cut Command,CopyCommand FigureTransferCommand BufferedUpdateStrategy DeleteCommand Animatable ToggleGridCommand Clipboard SendToBackCommand DuplicateCommand Command PatternPainter InsertImageCommand GroupCommand PasteCommand Animator CommandButton DrawingView UngroupCommand BringToFrontCommand SimpleUpdateStrategy CutCommand
1,Palette-Applet-Tool,Palette-Applet-Tool,Palette Listener Filler HJD Error Java Draw Applet Tool Button Palette Button Command Choice Draw Applet Nothing Applet Palette Icon Pert Figure Creation Tool Creation Tool Sleeper Thread Palette Layout Pert Applet,PaletteListener Filler HJDError JavaDrawApplet ToolButton PaletteButton CommandChoice DrawApplet NothingApplet PaletteIcon PertFigureCreationTool CreationTool SleeperThread PaletteLayout PertApplet
2,Tool-Text-Tracker,Tool-Text-Tracker,Border Tool Select Area Tracker Connected Text Tool Drag Tracker Scribble Tool URL Tool Selection Tool Abstract Tool Text Holder Follow URL Tool Action Tool Floating Text Field My Selection Tool Handle Tracker Text Tool,BorderTool SelectAreaTracker ConnectedTextTool DragTracker ScribbleTool URLTool SelectionTool AbstractTool TextHolder FollowURLTool ActionTool FloatingTextField MySelectionTool HandleTracker TextTool
3,Locator-Figure-Group,Locator-Figure-Group,Group Handle Locator Connector Node Figure Offset Locator Group Figure Relative Locator Locator Pert Dependency Abstract Locator Text Figure Null Handle Number Text Figure Abstract Connector Pert Figure,GroupHandle LocatorConnector NodeFigure OffsetLocator GroupFigure RelativeLocator Locator PertDependency AbstractLocator TextFigure NullHandle NumberTextFigure AbstractConnector PertFigure
4,Handle-South-West,Handle-South-West,South West Handle Handle Abstract Handle East Handle Box Handle Kit Font Size Handle North East Handle South East Handle Triangle Rotation Handle West Handle North West Handle South Handle North Handle Locator Handle,SouthWestHandle Handle AbstractHandle EastHandle BoxHandleKit FontSizeHandle NorthEastHandle SouthEastHandle TriangleRotationHandle WestHandle NorthWestHandle SouthHandle NorthHandle LocatorHandle
5,Figure-Storable-Rectangle,Figure-Storable-Rectangle,Storable Input Figure Attributes Attribute Figure Triangle Figure Ellipse Figure Diamond Figure Rectangle Figure Round Rectangle Figure Iconkit Image Figure Radius Handle Storable Storable Output Figure Selection,StorableInput FigureAttributes AttributeFigure TriangleFigure EllipseFigure DiamondFigure RectangleFigure RoundRectangleFigure Iconkit ImageFigure RadiusHandle Storable StorableOutput FigureSelection
6,Figure-Decorator-Change,Figure-Decorator-Change,Figure Decorator Figure Figure Change Listener Figure Change Event Multicaster Border Decorator Figure Change Event Composite Figure Elbow Text Locator Animation Decorator Figure Enumeration Bouncing Drawing Align Command Abstract Figure,Figure DecoratorFigure FigureChangeListener FigureChangeEventMulticaster BorderDecorator FigureChangeEvent CompositeFigure ElbowTextLocator AnimationDecorator FigureEnumeration BouncingDrawing AlignCommand AbstractFigure
7,Drawing-Change-Constrainer,Drawing-Change-Constrainer,Drawing Change Event Tool Java Draw Viewer Point Constrainer Standard Drawing Painter Standard Drawing View Drawing Change Listener Drawing Editor Figure Enumerator Grid Constrainer Drawing,DrawingChangeEvent Tool JavaDrawViewer PointConstrainer StandardDrawing Painter StandardDrawingView DrawingChangeListener DrawingEditor FigureEnumerator GridConstrainer Drawing
8,Line-Poly-Elbow,Line-Poly-Elbow,Poly Line Locator Elbow Handle Poly Line Figure Elbow Connection Poly Line Handle Poly Line Connector Line Figure Line Decoration Line Connection Arrow Tip,PolyLineLocator ElbowHandle PolyLineFigure ElbowConnection PolyLineHandle PolyLineConnector LineFigure LineDecoration LineConnection ArrowTip
9,Polygon-Connector-Handle,Polygon-Connector-Handle,Polygon Tool Geom Shortest Distance Connector Polygon Scale Handle Chop Ellipse Connector Polygon Handle Polygon Figure Chop Polygon Connector,PolygonTool Geom ShortestDistanceConnector PolygonScaleHandle ChopEllipseConnector PolygonHandle PolygonFigure ChopPolygonConnector
10,Connection-Handle-Change,Connection-Handle-Change,Connection Handle Connection Figure Connector Change Connection Handle Connection Tool Change Connection Start Handle Chop Box Connector Change Connection End Handle,ConnectionHandle ConnectionFigure Connector ChangeConnectionHandle ConnectionTool ChangeConnectionStartHandle ChopBoxConnector ChangeConnectionEndHandle
11,App-Application-Command,App-Application-Command,Net App Pert Application Nothing App Change Attribute Command Command Menu Java Draw App Draw Application,NetApp PertApplication NothingApp ChangeAttributeCommand CommandMenu JavaDrawApp DrawApplication
12,Color-Entry-Map,Color-Entry-Map,Color Entry Color Map,ColorEntry ColorMap
13,Reverse-Enumerator-Vector,Reverse-Enumerator-Vector,Reverse Vector Enumerator Reverse Figure Enumerator,ReverseVectorEnumerator ReverseFigureEnumerator
