,id,name,package,type,community
0,CH.ifa.draw.applet.DrawApplet,DrawApplet,CH.ifa.draw.applet,Structure,Palette-Applet-Tool
1,CH.ifa.draw.applet.SleeperThread,SleeperThread,CH.ifa.draw.applet,Structure,Palette-Applet-Tool
2,CH.ifa.draw.application.DrawApplication,DrawApplication,CH.ifa.draw.application,Structure,App-Application-Command
3,CH.ifa.draw.contrib.ChopPolygonConnector,ChopPolygonConnector,CH.ifa.draw.contrib,Structure,Polygon-Connector-Handle
4,CH.ifa.draw.contrib.DiamondFigure,DiamondFigure,CH.ifa.draw.contrib,Structure,Figure-Storable-Rectangle
5,CH.ifa.draw.contrib.PolygonFigure,PolygonFigure,CH.ifa.draw.contrib,Structure,Polygon-Connector-Handle
6,CH.ifa.draw.contrib.PolygonHandle,PolygonHandle,CH.ifa.draw.contrib,Structure,Polygon-Connector-Handle
7,CH.ifa.draw.contrib.PolygonScaleHandle,PolygonScaleHandle,CH.ifa.draw.contrib,Structure,Polygon-Connector-Handle
8,CH.ifa.draw.contrib.PolygonTool,PolygonTool,CH.ifa.draw.contrib,Structure,Polygon-Connector-Handle
9,CH.ifa.draw.contrib.TriangleFigure,TriangleFigure,CH.ifa.draw.contrib,Structure,Figure-Storable-Rectangle
10,CH.ifa.draw.contrib.TriangleRotationHandle,TriangleRotationHandle,CH.ifa.draw.contrib,Structure,Handle-South-West
11,CH.ifa.draw.figures.ArrowTip,ArrowTip,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
12,CH.ifa.draw.figures.AttributeFigure,AttributeFigure,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
13,CH.ifa.draw.figures.BorderDecorator,BorderDecorator,CH.ifa.draw.figures,Structure,Figure-Decorator-Change
14,CH.ifa.draw.figures.BorderTool,BorderTool,CH.ifa.draw.figures,Structure,Tool-Text-Tracker
15,CH.ifa.draw.figures.ChopEllipseConnector,ChopEllipseConnector,CH.ifa.draw.figures,Structure,Polygon-Connector-Handle
16,CH.ifa.draw.figures.ConnectedTextTool,ConnectedTextTool,CH.ifa.draw.figures,Structure,Tool-Text-Tracker
17,CH.ifa.draw.figures.ElbowConnection,ElbowConnection,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
18,CH.ifa.draw.figures.ElbowHandle,ElbowHandle,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
19,CH.ifa.draw.figures.ElbowTextLocator,ElbowTextLocator,CH.ifa.draw.figures,Structure,Figure-Decorator-Change
20,CH.ifa.draw.figures.EllipseFigure,EllipseFigure,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
21,CH.ifa.draw.figures.FigureAttributes,FigureAttributes,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
22,CH.ifa.draw.figures.FontSizeHandle,FontSizeHandle,CH.ifa.draw.figures,Structure,Handle-South-West
23,CH.ifa.draw.figures.GroupCommand,GroupCommand,CH.ifa.draw.figures,Structure,Command-Update-Strategy
24,CH.ifa.draw.figures.GroupFigure,GroupFigure,CH.ifa.draw.figures,Structure,Locator-Figure-Group
25,CH.ifa.draw.figures.GroupHandle,GroupHandle,CH.ifa.draw.figures,Structure,Locator-Figure-Group
26,CH.ifa.draw.figures.ImageFigure,ImageFigure,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
27,CH.ifa.draw.figures.InsertImageCommand,InsertImageCommand,CH.ifa.draw.figures,Structure,Command-Update-Strategy
28,CH.ifa.draw.figures.LineConnection,LineConnection,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
29,CH.ifa.draw.figures.LineDecoration,LineDecoration,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
30,CH.ifa.draw.figures.LineFigure,LineFigure,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
31,CH.ifa.draw.figures.NumberTextFigure,NumberTextFigure,CH.ifa.draw.figures,Structure,Locator-Figure-Group
32,CH.ifa.draw.figures.PolyLineConnector,PolyLineConnector,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
33,CH.ifa.draw.figures.PolyLineFigure,PolyLineFigure,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
34,CH.ifa.draw.figures.PolyLineHandle,PolyLineHandle,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
35,CH.ifa.draw.figures.PolyLineLocator,PolyLineLocator,CH.ifa.draw.figures,Structure,Line-Poly-Elbow
36,CH.ifa.draw.figures.RadiusHandle,RadiusHandle,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
37,CH.ifa.draw.figures.RectangleFigure,RectangleFigure,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
38,CH.ifa.draw.figures.RoundRectangleFigure,RoundRectangleFigure,CH.ifa.draw.figures,Structure,Figure-Storable-Rectangle
39,CH.ifa.draw.figures.ScribbleTool,ScribbleTool,CH.ifa.draw.figures,Structure,Tool-Text-Tracker
40,CH.ifa.draw.figures.ShortestDistanceConnector,ShortestDistanceConnector,CH.ifa.draw.figures,Structure,Polygon-Connector-Handle
41,CH.ifa.draw.figures.TextFigure,TextFigure,CH.ifa.draw.figures,Structure,Locator-Figure-Group
42,CH.ifa.draw.figures.TextTool,TextTool,CH.ifa.draw.figures,Structure,Tool-Text-Tracker
43,CH.ifa.draw.figures.UngroupCommand,UngroupCommand,CH.ifa.draw.figures,Structure,Command-Update-Strategy
44,CH.ifa.draw.framework.ConnectionFigure,ConnectionFigure,CH.ifa.draw.framework,Structure,Connection-Handle-Change
45,CH.ifa.draw.framework.Connector,Connector,CH.ifa.draw.framework,Structure,Connection-Handle-Change
46,CH.ifa.draw.framework.Drawing,Drawing,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
47,CH.ifa.draw.framework.DrawingChangeEvent,DrawingChangeEvent,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
48,CH.ifa.draw.framework.DrawingChangeListener,DrawingChangeListener,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
49,CH.ifa.draw.framework.DrawingEditor,DrawingEditor,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
50,CH.ifa.draw.framework.DrawingView,DrawingView,CH.ifa.draw.framework,Structure,Command-Update-Strategy
51,CH.ifa.draw.framework.Figure,Figure,CH.ifa.draw.framework,Structure,Figure-Decorator-Change
52,CH.ifa.draw.framework.FigureChangeEvent,FigureChangeEvent,CH.ifa.draw.framework,Structure,Figure-Decorator-Change
53,CH.ifa.draw.framework.FigureChangeListener,FigureChangeListener,CH.ifa.draw.framework,Structure,Figure-Decorator-Change
54,CH.ifa.draw.framework.FigureEnumeration,FigureEnumeration,CH.ifa.draw.framework,Structure,Figure-Decorator-Change
55,CH.ifa.draw.framework.FigureSelection,FigureSelection,CH.ifa.draw.framework,Structure,Figure-Storable-Rectangle
56,CH.ifa.draw.framework.HJDError,HJDError,CH.ifa.draw.framework,Structure,Palette-Applet-Tool
57,CH.ifa.draw.framework.Handle,Handle,CH.ifa.draw.framework,Structure,Handle-South-West
58,CH.ifa.draw.framework.Locator,Locator,CH.ifa.draw.framework,Structure,Locator-Figure-Group
59,CH.ifa.draw.framework.Painter,Painter,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
60,CH.ifa.draw.framework.PointConstrainer,PointConstrainer,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
61,CH.ifa.draw.framework.Tool,Tool,CH.ifa.draw.framework,Structure,Drawing-Change-Constrainer
62,CH.ifa.draw.samples.javadraw.AnimationDecorator,AnimationDecorator,CH.ifa.draw.samples.javadraw,Structure,Figure-Decorator-Change
63,CH.ifa.draw.samples.javadraw.Animator,Animator,CH.ifa.draw.samples.javadraw,Structure,Command-Update-Strategy
64,CH.ifa.draw.samples.javadraw.BouncingDrawing,BouncingDrawing,CH.ifa.draw.samples.javadraw,Structure,Figure-Decorator-Change
65,CH.ifa.draw.samples.javadraw.FollowURLTool,FollowURLTool,CH.ifa.draw.samples.javadraw,Structure,Tool-Text-Tracker
66,CH.ifa.draw.samples.javadraw.JavaDrawApp,JavaDrawApp,CH.ifa.draw.samples.javadraw,Structure,App-Application-Command
67,CH.ifa.draw.samples.javadraw.JavaDrawApplet,JavaDrawApplet,CH.ifa.draw.samples.javadraw,Structure,Palette-Applet-Tool
68,CH.ifa.draw.samples.javadraw.JavaDrawViewer,JavaDrawViewer,CH.ifa.draw.samples.javadraw,Structure,Drawing-Change-Constrainer
69,CH.ifa.draw.samples.javadraw.MySelectionTool,MySelectionTool,CH.ifa.draw.samples.javadraw,Structure,Tool-Text-Tracker
70,CH.ifa.draw.samples.javadraw.PatternPainter,PatternPainter,CH.ifa.draw.samples.javadraw,Structure,Command-Update-Strategy
71,CH.ifa.draw.samples.javadraw.URLTool,URLTool,CH.ifa.draw.samples.javadraw,Structure,Tool-Text-Tracker
72,CH.ifa.draw.samples.net.NetApp,NetApp,CH.ifa.draw.samples.net,Structure,App-Application-Command
73,CH.ifa.draw.samples.net.NodeFigure,NodeFigure,CH.ifa.draw.samples.net,Structure,Locator-Figure-Group
74,CH.ifa.draw.samples.nothing.NothingApp,NothingApp,CH.ifa.draw.samples.nothing,Structure,App-Application-Command
75,CH.ifa.draw.samples.nothing.NothingApplet,NothingApplet,CH.ifa.draw.samples.nothing,Structure,Palette-Applet-Tool
76,CH.ifa.draw.samples.pert.PertApplet,PertApplet,CH.ifa.draw.samples.pert,Structure,Palette-Applet-Tool
77,CH.ifa.draw.samples.pert.PertApplication,PertApplication,CH.ifa.draw.samples.pert,Structure,App-Application-Command
78,CH.ifa.draw.samples.pert.PertDependency,PertDependency,CH.ifa.draw.samples.pert,Structure,Locator-Figure-Group
79,CH.ifa.draw.samples.pert.PertFigure,PertFigure,CH.ifa.draw.samples.pert,Structure,Locator-Figure-Group
80,CH.ifa.draw.samples.pert.PertFigureCreationTool,PertFigureCreationTool,CH.ifa.draw.samples.pert,Structure,Palette-Applet-Tool
81,CH.ifa.draw.standard.AbstractConnector,AbstractConnector,CH.ifa.draw.standard,Structure,Locator-Figure-Group
82,CH.ifa.draw.standard.AbstractFigure,AbstractFigure,CH.ifa.draw.standard,Structure,Figure-Decorator-Change
83,CH.ifa.draw.standard.AbstractHandle,AbstractHandle,CH.ifa.draw.standard,Structure,Handle-South-West
84,CH.ifa.draw.standard.AbstractLocator,AbstractLocator,CH.ifa.draw.standard,Structure,Locator-Figure-Group
85,CH.ifa.draw.standard.AbstractTool,AbstractTool,CH.ifa.draw.standard,Structure,Tool-Text-Tracker
86,CH.ifa.draw.standard.ActionTool,ActionTool,CH.ifa.draw.standard,Structure,Tool-Text-Tracker
87,CH.ifa.draw.standard.AlignCommand,AlignCommand,CH.ifa.draw.standard,Structure,Figure-Decorator-Change
88,CH.ifa.draw.standard.BoxHandleKit,BoxHandleKit,CH.ifa.draw.standard,Structure,Handle-South-West
