source,target,interaction
n1002,n1089,accepts
n1002,n1089,depends
n1002,n805,constructs
n1002,n805,depends
n1002,n805,specializes
n1050,n1056,depends
n1050,n1168,accepts
n1050,n1168,constructs
n1050,n1168,depends
n1050,n1265,accepts
n1050,n1265,depends
n1050,n1265,returns
n1050,n1503,depends
n1050,n1646,depends
n1050,n1718,constructs
n1050,n1718,depends
n1050,n1718,specializes
n1050,n1791,constructs
n1050,n1814,constructs
n1050,n751,specializes
n1050,n994,accepts
n1050,n994,depends
n1051,n1051,depends
n1051,n1168,accepts
n1051,n1168,constructs
n1051,n1203,constructs
n1051,n1203,depends
n1051,n1203,holds
n1051,n1255,depends
n1051,n1265,accepts
n1051,n1265,depends
n1051,n1265,holds
n1051,n1493,constructs
n1051,n1503,depends
n1051,n1503,specializes
n1051,n1646,depends
n1051,n1814,constructs
n1051,n1852,depends
n1051,n1852,specializes
n1051,n187,accepts
n1051,n187,depends
n1051,n204,depends
n1051,n541,specializes
n1051,n545,accepts
n1051,n545,depends
n1056,n1265,returns
n1065,n1107,constructs
n1065,n1158,depends
n1065,n1158,specializes
n1065,n1265,accepts
n1065,n1814,constructs
n1065,n358,depends
n1065,n649,depends
n1066,n1066,depends
n1066,n1223,constructs
n1066,n1243,constructs
n1066,n1265,accepts
n1066,n1469,returns
n1066,n1632,constructs
n1066,n1825,constructs
n1066,n215,constructs
n1066,n387,constructs
n1066,n402,constructs
n1066,n779,constructs
n1076,n1056,depends
n1076,n1089,accepts
n1076,n1089,depends
n1076,n1089,holds
n1076,n131,constructs
n1076,n131,specializes
n1076,n1640,constructs
n1076,n751,depends
n108,n1089,accepts
n108,n1469,accepts
n108,n1469,depends
n108,n1469,holds
n108,n537,constructs
n108,n537,depends
n108,n537,specializes
n1089,n1056,returns
n1089,n1265,accepts
n1089,n1265,returns
n1089,n1346,returns
n1089,n1469,returns
n1089,n1534,accepts
n1089,n1590,accepts
n1089,n1590,returns
n1089,n321,accepts
n1089,n321,returns
n1089,n548,returns
n1089,n751,accepts
n1089,n751,returns
n1089,n994,specializes
n1090,n1066,depends
n1090,n1090,constructs
n1090,n1090,depends
n1090,n1852,depends
n1090,n1852,specializes
n1090,n187,accepts
n1090,n187,depends
n1090,n545,accepts
n1090,n545,depends
n110,n1066,depends
n110,n110,constructs
n110,n110,depends
n110,n1308,constructs
n110,n1679,returns
n110,n1852,depends
n110,n1852,specializes
n110,n187,accepts
n110,n187,depends
n110,n545,accepts
n110,n545,depends
n1100,n1100,depends
