source,target,label
n0,n11699,invokes
n0,n1785,invokes
n0,n7212,invokes
n0,n7763,hides
n0,n8096,invokes
n0,n8966,hasParameter
n0,n8985,invokes
n1,n6066,invokes
n100,n1580,invokes
n100,n3695,invokes
n100,n4202,invokes
n1000,n2849,hides
n10000,n11859,hasVariable
n10000,n13108,hasScript
n10000,n1789,hasVariable
n10000,n4149,hasVariable
n10000,n4534,hasVariable
n10000,n555,hasVariable
n10000,n9302,hasVariable
n10001,n11183,hasParameter
n10002,n12985,hides
n10004,n121,invokes
n10004,n5006,invokes
n10004,n8280,invokes
n10005,n11026,hasScript
n10005,n11215,hasScript
n10005,n11771,hasVariable
n10005,n12129,specializes
n10005,n12789,hasScript
n10005,n13092,hasScript
n10005,n13227,hasScript
n10005,n13406,hasScript
n10005,n1739,hasScript
n10005,n2434,hasScript
n10005,n268,hasScript
n10005,n4102,hasScript
n10005,n4166,hasScript
n10005,n6267,hasScript
n10005,n6606,hasScript
n10005,n6814,hasVariable
n10005,n8895,hasScript
n10005,n9573,hasScript
n10005,n9702,hasScript
n10006,n11283,invokes
n10006,n12232,invokes
n10007,n828,invokes
n10008,n1953,invokes
n10008,n2089,invokes
n10008,n2627,invokes
n10008,n4815,invokes
n10008,n4829,invokes
n10008,n6247,invokes
n10008,n7688,invokes
n10008,n8914,invokes
n10009,n10009,invokes
n10009,n12649,invokes
n10009,n5645,invokes
n1001,n8040,typed
n10012,n2757,invokes
n10015,n10125,invokes
n10015,n12395,invokes
n10015,n435,invokes
n10015,n7320,invokes
n10016,n10095,invokes
n10016,n10291,invokes
n10016,n10720,invokes
n10016,n10800,invokes
n10016,n10982,invokes
n10016,n11057,invokes
n10016,n113,invokes
n10016,n1143,invokes
n10016,n11687,invokes
n10016,n123,invokes
n10016,n12783,invokes
n10016,n13149,invokes
n10016,n1551,returnType
n10016,n2035,invokes
n10016,n2306,invokes
n10016,n2766,invokes
n10016,n3253,invokes
n10016,n3774,invokes
