id,fullName,name,type
n0,"@java+method#com.fsck.k9.activity.MessageCompose.onMessageBuildSuccess(com.fsck.k9.mail.internet.MimeMessage,boolean)",onMessageBuildSuccess,Operation
n1,@java+method#com.fsck.k9.mail.internet.MimeUtility.isMessage(java.lang.String),isMessage,Operation
n10,@java+method#org.openintents.openpgp.OpenPgpError.getErrorId(),getErrorId,Operation
n100,@java+method#com.fsck.k9.helper.MailToTest.testGetTo_multipleEmailAddress(),testGetTo_multipleEmailAddress,Operation
n1000,@java+method#com.fsck.k9.mail.store.pop3.Pop3Store.Pop3Folder.supportsFetchingFlags(),supportsFetchingFlags,Operation
n10000,@java+class#com.fsck.k9.mail.store.pop3.Pop3Store.Pop3Capabilities,Pop3Capabilities,Structure
n10001,@java+method#com.fsck.k9.message.TextBodyBuilder.setQuotedTextHtml(com.fsck.k9.message.quote.InsertableHtmlContent),setQuotedTextHtml,Operation
n10002,@java+method#com.fsck.k9.preferences.AccountSettings.StringResourceSetting.getMapping(),getMapping,Operation
n10003,"@java+method#com.fsck.k9.mail.transport.smtp.NegativeSmtpReplyException.buildErrorMessage(int,java.lang.String)",buildErrorMessage,Operation
n10004,@java+method#com.fsck.k9.mail.AddressTest.hashCode_withoutPersonal(),hashCode_withoutPersonal,Operation
n10005,@java+class#com.fsck.k9.notification.DeviceNotifications,DeviceNotifications,Structure
n10006,@java+method#com.fsck.k9.mail.store.imap.ImapFolderTest.getMessages_withInvalidStartArgument_shouldThrow(),getMessages_withInvalidStartArgument_shouldThrow,Operation
n10007,@java+method#com.fsck.k9.helper.EmailHelperTest.getDomainFromEmailAddress_withInvalidEmail_shouldReturnNull(),getDomainFromEmailAddress_withInvalidEmail_shouldReturnNull,Operation
n10008,@java+method#com.fsck.k9.mail.store.imap.ImapConnectionTest.open_withNamespaceCapability_shouldIssueNamespaceCommand(),open_withNamespaceCapability_shouldIssueNamespaceCommand,Operation
n10009,"@java+method#com.fsck.k9.mail.internet.EncoderUtil.encodeQ(java.lang.String,java.lang.String,java.nio.charset.Charset,byte[])",encodeQ,Operation
n1001,@java+field#com.fsck.k9.notification.NotificationController.authenticationErrorNotifications,authenticationErrorNotifications,Variable
n10010,@java+field#com.fsck.k9.mail.store.imap.ImapFolder.MORE_MESSAGES_WINDOW_SIZE,MORE_MESSAGES_WINDOW_SIZE,Variable
n10011,@java+method#com.fsck.k9.mail.store.imap.ListResponse.getName(),getName,Operation
