,source,target,interaction,weight
0,Service-Tracing-Sleep,Settings-Importer-Identity,depends,1
1,Service-Tracing-Sleep,Message-Fragment-List,depends,2
2,Service-Tracing-Sleep,Account-Folder-Messaging,depends,4
3,Service-Tracing-Sleep,Account-Folder-Messaging,accepts,1
4,Service-Tracing-Sleep,Account-Folder-Messaging,specializes,1
5,Service-Tracing-Sleep,Imap-Store-Response,depends,2
6,Web-View-Client,Message-Crypto-Body,depends,4
7,Web-View-Client,Message-Crypto-Body,accepts,2
8,Web-View-Client,Settings-Importer-Identity,depends,1
9,Web-View-Client,Message-Fragment-List,depends,1
10,Encoder-Util-Encoding,Message-Crypto-Body,depends,1
11,Message-Provider-Query,Message-Crypto-Body,holds,1
12,Message-Provider-Query,Provider-Message-Storage,constructs,1
13,Message-Provider-Query,Message-Fragment-List,depends,1
14,Message-Provider-Query,Message-Fragment-List,constructs,1
15,Message-Provider-Query,Account-Folder-Messaging,depends,3
16,Message-Provider-Query,Account-Folder-Messaging,constructs,2
17,Progress-Body-Factory,Message-Crypto-Body,specializes,1
18,Message-Crypto-Body,Web-View-Client,accepts,1
19,Message-Crypto-Body,Web-View-Client,holds,1
20,Message-Crypto-Body,Web-View-Client,depends,1
21,Message-Crypto-Body,Encoder-Util-Encoding,depends,1
22,Message-Crypto-Body,Html-Uri-Parser,depends,7
23,Message-Crypto-Body,Html-Uri-Parser,accepts,1
24,Message-Crypto-Body,Html-Uri-Parser,holds,1
25,Message-Crypto-Body,Settings-Importer-Identity,depends,4
26,Message-Crypto-Body,Settings-Importer-Identity,holds,4
27,Message-Crypto-Body,Settings-Importer-Identity,returns,1
28,Message-Crypto-Body,Settings-Importer-Identity,accepts,2
29,Message-Crypto-Body,Recipient-View-Status,accepts,4
30,Message-Crypto-Body,Recipient-View-Status,holds,3
31,Message-Crypto-Body,Recipient-View-Status,depends,1
32,Message-Crypto-Body,Provider-Message-Storage,depends,6
33,Message-Crypto-Body,Provider-Message-Storage,accepts,5
34,Message-Crypto-Body,Provider-Message-Storage,holds,1
35,Message-Crypto-Body,Provider-Message-Storage,returns,1
36,Message-Crypto-Body,Message-Fragment-List,depends,16
37,Message-Crypto-Body,Message-Fragment-List,accepts,5
38,Message-Crypto-Body,Message-Fragment-List,holds,4
39,Message-Crypto-Body,Message-Fragment-List,returns,1
40,Message-Crypto-Body,Account-Folder-Messaging,accepts,9
41,Message-Crypto-Body,Account-Folder-Messaging,depends,9
42,Message-Crypto-Body,Account-Folder-Messaging,holds,2
43,Message-Crypto-Body,Account-Folder-Messaging,returns,1
44,Message-Crypto-Body,Imap-Store-Response,specializes,1
45,Message-Crypto-Body,Imap-Store-Response,constructs,13
46,Message-Crypto-Body,Imap-Store-Response,depends,1
47,Message-Crypto-Body,Imap-Store-Response,accepts,3
48,Message-Crypto-Body,Imap-Store-Response,holds,2
49,Html-Uri-Parser,Message-Fragment-List,depends,1
50,Settings-Setting-Global,Settings-Importer-Identity,depends,8
