,id,name,words,members_str
0,Service-Tracing-Sleep,Service-Tracing-Sleep,Poll Service Listener Database Upgrade Service Tracing Power Manager Tracing Wake Lock Tracing Power Manager Poll Service Core Receiver Boot Receiver Core Service Sleep Service Sleep Datum Sleep Service Push Service,PollService.Listener DatabaseUpgradeService TracingPowerManager.TracingWakeLock TracingPowerManager PollService CoreReceiver BootReceiver CoreService SleepService.SleepDatum SleepService PushService
1,Web-View-Client,Web-View-Client,Throttle My Timer Task Message Web View Web View Client Pre Lollipop Web View Client Clock Message Web View On Page Finished Listener Rigid Web View Throttle Web View Client Lollipop Web View Client Web View Client Attachment Resolver Throttle My Timer Task Handler Runnable,Throttle.MyTimerTask MessageWebView K9WebViewClient.PreLollipopWebViewClient Clock MessageWebView.OnPageFinishedListener RigidWebView Throttle K9WebViewClient.LollipopWebViewClient K9WebViewClient AttachmentResolver Throttle.MyTimerTask.HandlerRunnable
2,Merge-Cursor-With,Merge-Cursor-With,Merge Cursor Merge Cursor With Unique Id,MergeCursor MergeCursorWithUniqueId
3,Email-Provider-Message,Email-Provider-Message,Email Provider Message Columns Email Provider Internal Message Columns,EmailProvider.MessageColumns EmailProvider.InternalMessageColumns
4,Non-Locking-Scroll,Non-Locking-Scroll,Non Locking Scroll View Non Locking Scroll View Hierarchy Tree Change Listener,NonLockingScrollView NonLockingScrollView.HierarchyTreeChangeListener
5,Encoder-Util-Encoding,Encoder-Util-Encoding,Encoder Util Encoding Encoder Util,EncoderUtil.Encoding EncoderUtil
6,Account-Receiver-Remote,Account-Receiver-Remote,Account Receiver Remote Control Account Receptor,AccountReceiver K9RemoteControl K9AccountReceptor
7,Crypto-Mode-Selector,Crypto-Mode-Selector,Crypto Mode Selector Crypto Status Selected Listener Crypto Mode Selector Crypto Mode Selector Crypto Mode Selector State,CryptoModeSelector.CryptoStatusSelectedListener CryptoModeSelector CryptoModeSelector.CryptoModeSelectorState
8,Dialog-Pgp-Sign,Dialog-Pgp-Sign,Pgp Sign Only Dialog Pgp Inline Dialog Pgp Encrypt Description Dialog Pgp Enabled Error Dialog Highlight Dialog Fragment,PgpSignOnlyDialog PgpInlineDialog PgpEncryptDescriptionDialog PgpEnabledErrorDialog HighlightDialogFragment
9,Message-Provider-Query,Message-Provider-Query,Message Provider Query Handler Message Provider Unread Query Handler Message Provider Throttling Query Handler Message Provider Message Provider Monitored Cursor,MessageProvider.QueryHandler MessageProvider.UnreadQueryHandler MessageProvider.ThrottlingQueryHandler MessageProvider MessageProvider.MonitoredCursor
10,Filter-Node-Signature,Filter-Node-Signature,Html Signature Remover Strip Signature Filter Advanced Node Traversor Filter Result Node Filter Node Filter Head Filter Decision Html Signature Remover Advanced Node Traversor Node Filter Tail Filter Decision,HtmlSignatureRemover.StripSignatureFilter AdvancedNodeTraversor.FilterResult NodeFilter NodeFilter.HeadFilterDecision HtmlSignatureRemover AdvancedNodeTraversor NodeFilter.TailFilterDecision
11,Progress-Body-Factory,Progress-Body-Factory,Progress Body Factory Progress Listener Progress Body Factory,ProgressBodyFactory.ProgressListener ProgressBodyFactory
