source,target,interaction,weight
com.fsck.k9.Account,com.fsck.k9.Account.DeletePolicy,accepts,1
com.fsck.k9.Account,com.fsck.k9.Account.DeletePolicy,holds,1
com.fsck.k9.Account,com.fsck.k9.Account.DeletePolicy,returns,1
com.fsck.k9.Account,com.fsck.k9.Account.Expunge,accepts,1
com.fsck.k9.Account,com.fsck.k9.Account.Expunge,holds,1
com.fsck.k9.Account,com.fsck.k9.Account.Expunge,returns,1
com.fsck.k9.Account,com.fsck.k9.Account.FolderMode,accepts,5
com.fsck.k9.Account,com.fsck.k9.Account.FolderMode,holds,5
com.fsck.k9.Account,com.fsck.k9.Account.FolderMode,returns,5
com.fsck.k9.Account,com.fsck.k9.Account.MessageFormat,accepts,1
com.fsck.k9.Account,com.fsck.k9.Account.MessageFormat,holds,2
com.fsck.k9.Account,com.fsck.k9.Account.MessageFormat,returns,1
com.fsck.k9.Account,com.fsck.k9.Account.QuoteStyle,accepts,1
com.fsck.k9.Account,com.fsck.k9.Account.QuoteStyle,holds,2
com.fsck.k9.Account,com.fsck.k9.Account.QuoteStyle,returns,1
com.fsck.k9.Account,com.fsck.k9.Account.Searchable,accepts,1
com.fsck.k9.Account,com.fsck.k9.Account.Searchable,holds,1
com.fsck.k9.Account,com.fsck.k9.Account.Searchable,returns,1
com.fsck.k9.Account,com.fsck.k9.Account.ShowPictures,accepts,1
com.fsck.k9.Account,com.fsck.k9.Account.ShowPictures,holds,1
com.fsck.k9.Account,com.fsck.k9.Account.ShowPictures,returns,1
com.fsck.k9.Account,com.fsck.k9.Account.SortType,accepts,3
com.fsck.k9.Account,com.fsck.k9.Account.SortType,holds,2
com.fsck.k9.Account,com.fsck.k9.Account.SortType,returns,1
com.fsck.k9.Account,com.fsck.k9.AccountStats,returns,1
com.fsck.k9.Account,com.fsck.k9.BaseAccount,specializes,1
com.fsck.k9.Account,com.fsck.k9.Identity,returns,2
com.fsck.k9.Account,com.fsck.k9.NotificationSetting,holds,1
com.fsck.k9.Account,com.fsck.k9.NotificationSetting,returns,1
com.fsck.k9.Account,com.fsck.k9.Preferences,accepts,7
com.fsck.k9.Account,com.fsck.k9.activity.setup.AccountSetupCheckSettings.CheckDirection,accepts,2
com.fsck.k9.Account,com.fsck.k9.mail.Address,accepts,2
com.fsck.k9.Account,com.fsck.k9.mail.NetworkType,accepts,2
com.fsck.k9.Account,com.fsck.k9.mail.Store,returns,1
com.fsck.k9.Account,com.fsck.k9.mail.store.StoreConfig,specializes,1
com.fsck.k9.Account,com.fsck.k9.mailstore.LocalStore,returns,1
com.fsck.k9.Account,com.fsck.k9.preferences.Storage,accepts,3
com.fsck.k9.Account,com.fsck.k9.preferences.StorageEditor,accepts,2
com.fsck.k9.Account,com.fsck.k9.search.LocalSearch,accepts,4
com.fsck.k9.Account,com.fsck.k9.view.ColorChip,holds,4
com.fsck.k9.Account,com.fsck.k9.view.ColorChip,returns,1
