,source,target,interaction,weight
0,Controller-Wizard-Texture,Home-Controller-Panel,accepts,30
1,Controller-Wizard-Texture,Home-Controller-Panel,returns,3
2,Controller-Wizard-Texture,Home-Controller-Panel,depends,20
3,Controller-Wizard-Texture,Home-Controller-Panel,constructs,15
4,Controller-Wizard-Texture,Home-Controller-Panel,holds,6
5,Controller-Wizard-Texture,Home-Controller-Panel,specializes,2
6,Controller-Wizard-Texture,Furniture-Catalog-Imported,constructs,28
7,Controller-Wizard-Texture,Furniture-Catalog-Imported,depends,25
8,Controller-Wizard-Texture,Furniture-Catalog-Imported,accepts,21
9,Controller-Wizard-Texture,Furniture-Catalog-Imported,holds,7
10,Controller-Wizard-Texture,Furniture-Catalog-Imported,returns,21
11,Controller-Wizard-Texture,Furniture-Catalog-Imported,specializes,2
12,Controller-Wizard-Texture,Controller-Plan-State,depends,2
13,Controller-Wizard-Texture,Controller-Plan-State,accepts,3
14,Controller-Wizard-Texture,Controller-Plan-State,returns,3
15,Controller-Wizard-Texture,Home-Controller-Listener,accepts,11
16,Controller-Wizard-Texture,Home-Controller-Listener,depends,25
17,Controller-Wizard-Texture,Home-Controller-Listener,holds,5
18,Controller-Wizard-Texture,Home-Controller-Listener,constructs,3
19,Controller-Wizard-Texture,Home-Controller-Listener,specializes,12
20,Controller-Wizard-Texture,Home-Controller-Listener,returns,6
21,Controller-Wizard-Texture,Furniture-Home-Table,accepts,5
22,Controller-Wizard-Texture,Furniture-Home-Table,depends,10
23,Controller-Wizard-Texture,Furniture-Home-Table,constructs,3
24,Controller-Wizard-Texture,Controller-Model-Materials,depends,24
25,Controller-Wizard-Texture,Controller-Model-Materials,constructs,15
26,Controller-Wizard-Texture,Controller-Model-Materials,accepts,23
27,Controller-Wizard-Texture,Plan-Component-Label,holds,2
28,Controller-Wizard-Texture,Plan-Component-Label,returns,1
29,Controller-Wizard-Texture,Plan-Component-Label,constructs,4
30,Controller-Wizard-Texture,Plan-Component-Label,accepts,3
31,Controller-Wizard-Texture,Plan-Component-Label,depends,1
32,Controller-Wizard-Texture,Home-Print-XML,constructs,7
33,Controller-Wizard-Texture,Home-Print-XML,returns,1
34,Controller-Wizard-Texture,Home-Print-XML,depends,2
35,Controller-Wizard-Texture,Home-Print-XML,accepts,3
36,Controller-Wizard-Texture,Polyline-Controller-Style,constructs,1
37,Controller-Wizard-Texture,Polyline-Controller-Style,accepts,3
38,Controller-Wizard-Texture,OBJ-Loader-Writer,constructs,1
39,Controller-Wizard-Texture,OBJ-Loader-Writer,depends,1
40,Controller-Wizard-Texture,Compass-Property-Controller,accepts,1
41,Controller-Wizard-Texture,Compass-Property-Controller,depends,1
42,Controller-Wizard-Texture,Compass-Property-Controller,constructs,1
43,Home-Controller-Panel,Controller-Wizard-Texture,constructs,9
44,Home-Controller-Panel,Controller-Wizard-Texture,accepts,44
45,Home-Controller-Panel,Controller-Wizard-Texture,depends,49
46,Home-Controller-Panel,Controller-Wizard-Texture,holds,31
47,Home-Controller-Panel,Controller-Wizard-Texture,specializes,6
48,Home-Controller-Panel,Controller-Wizard-Texture,returns,11
49,Home-Controller-Panel,Furniture-Catalog-Imported,constructs,6
50,Home-Controller-Panel,Furniture-Catalog-Imported,depends,10
51,Home-Controller-Panel,Furniture-Catalog-Imported,accepts,3
52,Home-Controller-Panel,Furniture-Catalog-Imported,holds,2
53,Home-Controller-Panel,Furniture-Catalog-Imported,returns,1
54,Home-Controller-Panel,Controller-Plan-State,accepts,16
55,Home-Controller-Panel,Controller-Plan-State,depends,23
56,Home-Controller-Panel,Controller-Plan-State,returns,4
57,Home-Controller-Panel,Controller-Plan-State,constructs,4
58,Home-Controller-Panel,Controller-Plan-State,holds,1
59,Home-Controller-Panel,Controller-Plan-State,specializes,2
60,Home-Controller-Panel,Home-Controller-Listener,depends,16
61,Home-Controller-Panel,Home-Controller-Listener,constructs,1
62,Home-Controller-Panel,Home-Controller-Listener,specializes,4
63,Home-Controller-Panel,Furniture-Home-Table,depends,31
64,Home-Controller-Panel,Furniture-Home-Table,returns,7
