source,target,interaction,weight
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.HomeFramePane,constructs,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.HomeFramePane,depends,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.model.Home,accepts,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.model.Home,holds,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.model.HomeApplication,accepts,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.model.HomeApplication,holds,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.plugin.HomePluginController,constructs,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.plugin.PluginManager,accepts,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.plugin.PluginManager,holds,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.ContentManager,accepts,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.ContentManager,holds,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.Controller,specializes,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.HomeController,holds,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.HomeController,returns,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.View,holds,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.View,returns,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.ViewFactory,accepts,1
com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.viewcontroller.ViewFactory,holds,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.HomeFrameController,accepts,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.HomeFrameController,depends,4
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.HomeFrameController,holds,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,constructs,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.MacOSXConfiguration,depends,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.CollectionEvent,depends,2
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.Home,accepts,5
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.Home,depends,5
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.Home,holds,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.HomeApplication,accepts,4
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.HomeApplication,depends,3
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.HomeApplication,holds,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.model.UserPreferences,depends,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.tools.OperatingSystem,depends,2
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.viewcontroller.ContentManager,accepts,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.viewcontroller.ContentManager,holds,1
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.viewcontroller.HomeController,accepts,2
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.viewcontroller.HomeController,depends,9
com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.viewcontroller.View,specializes,1
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.HomeFramePane,accepts,1
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.HomeFramePane,depends,2
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.model.CollectionEvent,depends,2
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.model.Home,depends,14
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.model.HomeApplication,depends,6
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.model.UserPreferences,depends,4
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.swing.SwingTools,depends,1
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.tools.OperatingSystem,depends,11
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.viewcontroller.ContentManager,depends,1
com.eteks.sweethome3d.HomeFramePane.LanguageChangeListener,com.eteks.sweethome3d.viewcontroller.HomeController,depends,1
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.HomeFrameController,depends,3
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.SweetHome3D,accepts,10
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.SweetHome3D,depends,15
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.model.CollectionEvent,depends,4
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.model.Home,depends,2
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.model.HomeApplication,depends,12
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.model.UserPreferences,depends,1
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.swing.HomePane,accepts,4
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.swing.ResourceAction,constructs,4
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.swing.SwingTools,depends,2
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.tools.OperatingSystem,depends,9
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.viewcontroller.HomeController,accepts,4
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.viewcontroller.HomeController,depends,5
com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.viewcontroller.HomeController,returns,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.HomeFrameController,constructs,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.HomeFrameController,depends,8
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.HomeFrameController,returns,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.MacOSXConfiguration,depends,3
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.io.AutoRecoveryManager,constructs,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.io.AutoRecoveryManager,depends,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.io.AutoRecoveryManager,holds,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.io.FileUserPreferences,constructs,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.io.FileUserPreferences,depends,4
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.io.HomeFileRecorder,constructs,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.j3d.Component3DManager,depends,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.CollectionEvent,depends,8
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.Home,accepts,5
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.Home,depends,10
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.HomeApplication,depends,26
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.HomeApplication,specializes,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.HomeRecorder,depends,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.HomeRecorder,holds,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.HomeRecorder,returns,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.HomeRecorder.Type,accepts,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.Library,depends,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.UserPreferences,depends,13
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.UserPreferences,holds,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.model.UserPreferences,returns,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.plugin.HomePluginController,depends,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.plugin.PluginManager,constructs,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.plugin.PluginManager,depends,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.plugin.PluginManager,holds,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.plugin.PluginManager,returns,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.swing.SwingTools,depends,2
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.swing.SwingViewFactory,constructs,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.tools.OperatingSystem,depends,10
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.ContentManager,depends,6
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.ContentManager,holds,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.ContentManager,returns,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.HomeController,accepts,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.HomeController,depends,6
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.ViewFactory,holds,1
com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.viewcontroller.ViewFactory,returns,1
com.eteks.sweethome3d.SweetHome3D.FileContentManagerWithRecordedLastDirectories,com.eteks.sweethome3d.model.UserPreferences,accepts,1
com.eteks.sweethome3d.SweetHome3D.FileContentManagerWithRecordedLastDirectories,com.eteks.sweethome3d.swing.FileContentManager,specializes,1
com.eteks.sweethome3d.SweetHome3D.FileContentManagerWithRecordedLastDirectories,com.eteks.sweethome3d.viewcontroller.ContentManager.ContentType,accepts,2
com.eteks.sweethome3d.SweetHome3D.StandaloneBasicService,com.eteks.sweethome3d.tools.OperatingSystem,depends,6
com.eteks.sweethome3d.SweetHome3D.StandaloneServiceManager,com.eteks.sweethome3d.SweetHome3D.StandaloneBasicService,constructs,1
com.eteks.sweethome3d.SweetHome3D.StandaloneServiceManager,com.eteks.sweethome3d.SweetHome3D.StandaloneSingleInstanceService,constructs,1
com.eteks.sweethome3d.SweetHome3D.StandaloneSingleInstanceService,com.eteks.sweethome3d.tools.OperatingSystem,depends,2
com.eteks.sweethome3d.SweetHome3DBootstrap,com.eteks.sweethome3d.tools.ExtensionsClassLoader,constructs,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.applet.AppletApplication.AppletFurnitureTable,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.applet.AppletApplication.StandaloneServiceManager,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.applet.AppletContentManager,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.applet.AppletUserPreferences,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.applet.HomeAppletController,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.applet.HomeAppletRecorder,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.j3d.Component3DManager,depends,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.j3d.ModelManager,depends,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.j3d.TextureManager,depends,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.CollectionEvent,depends,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.Home,accepts,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.Home,depends,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.HomeApplication,depends,7
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.HomeApplication,specializes,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.HomeRecorder,holds,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.HomeRecorder,returns,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.UserPreferences,depends,4
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.UserPreferences,holds,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.model.UserPreferences,returns,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.plugin.PluginManager,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.plugin.PluginManager,holds,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.plugin.PluginManager,returns,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.ControllerAction,constructs,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.IconManager,depends,2
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.ResourceAction.MenuItemAction,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.ResourceAction.MenuItemAction,depends,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.ResourceAction.ToolBarAction,constructs,3
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.SwingTools,depends,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.swing.SwingViewFactory,constructs,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.tools.OperatingSystem,depends,10
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.ContentManager,holds,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.ContentManager,returns,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.HomeController,depends,10
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.HomeController,returns,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.HomeView,depends,7
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.HomeView.ActionType,accepts,4
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.HomeView.ActionType,depends,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.ViewFactory,holds,1
com.eteks.sweethome3d.applet.AppletApplication,com.eteks.sweethome3d.viewcontroller.ViewFactory,returns,1
com.eteks.sweethome3d.applet.AppletApplication.AppletFurnitureTable,com.eteks.sweethome3d.model.Home,accepts,1
com.eteks.sweethome3d.applet.AppletApplication.AppletFurnitureTable,com.eteks.sweethome3d.model.HomePieceOfFurniture,depends,1
com.eteks.sweethome3d.applet.AppletApplication.AppletFurnitureTable,com.eteks.sweethome3d.model.UserPreferences,accepts,1
com.eteks.sweethome3d.applet.AppletApplication.AppletFurnitureTable,com.eteks.sweethome3d.swing.FurnitureTable,specializes,1
com.eteks.sweethome3d.applet.AppletApplication.AppletFurnitureTable,com.eteks.sweethome3d.viewcontroller.FurnitureController,accepts,1
com.eteks.sweethome3d.applet.AppletApplication.StandaloneServiceManager,com.eteks.sweethome3d.applet.AppletApplication.AppletBasicService,constructs,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.applet.HomeAppletRecorder,depends,3
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.model.HomeRecorder,accepts,2
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.model.HomeRecorder,depends,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.model.HomeRecorder,holds,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.model.UserPreferences,accepts,2
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.model.UserPreferences,depends,16
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.model.UserPreferences,holds,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.swing.FileContentManager,depends,7
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.swing.FileContentManager,specializes,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.swing.SwingViewFactory,constructs,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.viewcontroller.ContentManager.ContentType,accepts,4
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.viewcontroller.ThreadedTaskController,constructs,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.viewcontroller.ThreadedTaskController,depends,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.viewcontroller.View,accepts,4
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.viewcontroller.ViewFactory,accepts,1
com.eteks.sweethome3d.applet.AppletContentManager,com.eteks.sweethome3d.viewcontroller.ViewFactory,holds,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.io.DefaultFurnitureCatalog,constructs,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.io.DefaultTexturesCatalog,constructs,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.io.DefaultUserPreferences,constructs,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.CatalogPieceOfFurniture,depends,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.CatalogTexture,depends,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.FurnitureCatalog,constructs,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.FurnitureCatalog,depends,4
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.FurnitureCategory,depends,2
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.LengthUnit,depends,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.PatternsCatalog,depends,2
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.RecorderException,constructs,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.TextureImage,depends,4
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.TexturesCatalog,constructs,1
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.TexturesCatalog,depends,4
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.TexturesCategory,depends,2
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.UserPreferences,depends,76
com.eteks.sweethome3d.applet.AppletUserPreferences,com.eteks.sweethome3d.model.UserPreferences,specializes,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.applet.HomeAppletRecorder,depends,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.io.HomeFileRecorder,constructs,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.io.HomeFileRecorder,depends,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.Home,accepts,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.Home,depends,7
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.Home,holds,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.HomeApplication,accepts,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.HomeApplication,depends,20
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.HomeApplication,holds,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.HomeRecorder.Type,accepts,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.model.UserPreferences,depends,10
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.plugin.HomePluginController,specializes,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.plugin.PluginManager,accepts,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.swing.FileContentManager,constructs,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.swing.FileContentManager,depends,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.swing.SwingTools,depends,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.ContentManager,accepts,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.ContentManager,holds,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.HomeController,depends,10
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.HomeView,depends,14
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.HomeView,holds,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.HomeView,returns,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.ThreadedTaskController,constructs,3
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.ThreadedTaskController,depends,6
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.UserPreferencesController,constructs,1
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.UserPreferencesController,depends,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.ViewFactory,accepts,2
com.eteks.sweethome3d.applet.HomeAppletController,com.eteks.sweethome3d.viewcontroller.ViewFactory,holds,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.applet.HomeAppletRecorder.LengthOutputStream,constructs,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.applet.HomeAppletRecorder.LengthOutputStream,depends,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.ContentRecording,accepts,2
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.ContentRecording,holds,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.DefaultHomeInputStream,constructs,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.DefaultHomeInputStream,depends,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.DefaultHomeInputStream,returns,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.DefaultHomeOutputStream,constructs,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.DefaultHomeOutputStream,depends,2
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.io.DefaultHomeOutputStream,returns,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.model.Home,accepts,2
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.model.Home,returns,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.model.HomeRecorder,specializes,1
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.model.InterruptedRecorderException,constructs,4
com.eteks.sweethome3d.applet.HomeAppletRecorder,com.eteks.sweethome3d.model.RecorderException,constructs,11
com.eteks.sweethome3d.applet.SweetHome3DApplet,com.eteks.sweethome3d.tools.ExtensionsClassLoader,constructs,2
com.eteks.sweethome3d.applet.SweetHome3DViewer,com.eteks.sweethome3d.tools.ExtensionsClassLoader,constructs,1
com.eteks.sweethome3d.applet.ViewerHelper,com.eteks.sweethome3d.io.DefaultHomeInputStream,constructs,1
com.eteks.sweethome3d.applet.ViewerHelper,com.eteks.sweethome3d.io.DefaultHomeInputStream,depends,1
com.eteks.sweethome3d.applet.ViewerHelper,com.eteks.sweethome3d.j3d.Component3DManager,depends,2
